Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
CHEVROLET Equinox,2,4,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JGMXT02.0100,small SUV,5,22,28,24,5,No,367
CHEVROLET Equinox,2,4,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JGMXT02.0100,small SUV,5,22,28,24,5,No,367
CHEVROLET Impala,2.5,4,SemiAuto-6,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV02.5001,large car,3,22,30,25,5,No,360
CHEVROLET Impala,2.5,4,SemiAuto-6,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV02.5001,large car,3,22,30,25,5,No,360
CHEVROLET Impala,3.6,6,SemiAuto-6,2WD,Ethanol/Gas,CA,L3ULEV70,California LEV-III ULEV70,JGMXV03.6166,large car,5,14/18,20/28,16/22,4,No,394/409
CHEVROLET Impala,3.6,6,SemiAuto-6,2WD,Ethanol/Gas,FA,T3B70,Federal Tier 3 Bin 70,JGMXV03.6166,large car,5,14/18,20/28,16/22,4,No,394/409
CHEVROLET Impala,3.6,6,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JGMXV03.6048,large car,7,19,28,22,4,No,404
CHEVROLET Impala,3.6,6,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JGMXV03.6048,large car,7,19,28,22,4,No,404
CHEVROLET Malibu,1.5,4,Auto-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,JGMXV01.5002,midsize car,6,27,36,30,7,Yes,292
CHEVROLET Malibu,1.5,4,Auto-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,JGMXV01.5002,midsize car,6,27,36,30,7,Yes,292
CHEVROLET Malibu,1.5,4,Auto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JGMXV01.5010,midsize car,7,27,36,30,7,Yes,292
CHEVROLET Malibu,1.5,4,Auto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JGMXV01.5010,midsize car,7,27,36,30,7,Yes,292
CHEVROLET Malibu,1.8,4,CVT,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.8050,midsize car,3,49,43,46,10,Yes,194
CHEVROLET Malibu,1.8,4,CVT,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.8050,midsize car,3,49,43,46,10,Yes,194
CHEVROLET Malibu,2,4,Auto-9,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JGMXV02.0031,midsize car,5,22,32,26,5,No,344
CHEVROLET Malibu,2,4,Auto-9,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JGMXV02.0031,midsize car,5,22,32,26,5,No,344
CHEVROLET Silverado 15,4.3,6,Auto-6,2WD,Ethanol/Gas,CA,L3ULEV70,California LEV-III ULEV70,JGMXT04.3187,pickup,5,12/18,16/24,14/20,4,No,457/448
CHEVROLET Silverado 15,4.3,6,Auto-6,2WD,Ethanol/Gas,FA,T3B70,Federal Tier 3 Bin 70,JGMXT04.3187,pickup,5,12/18,16/24,14/20,4,No,457/448
CHEVROLET Silverado 15,4.3,6,Auto-6,4WD,Ethanol/Gas,CA,L3ULEV70,California LEV-III ULEV70,JGMXT04.3187,pickup,5,12/17,15/22,13/19,3,No,476/473
CHEVROLET Silverado 15,4.3,6,Auto-6,4WD,Ethanol/Gas,FA,T3B70,Federal Tier 3 Bin 70,JGMXT04.3187,pickup,5,12/17,15/22,13/19,3,No,476/473
CHEVROLET Silverado 15,5.3,8,Auto-6,2WD,Ethanol/Gas,CA,L3ULEV125,California LEV-III ULEV125,JGMXT05.3382,pickup,3,12/16,17/23,14/19,3,No,455/475
CHEVROLET Silverado 15,5.3,8,Auto-6,2WD,Ethanol/Gas,FA,T3B125,Federal Tier 3 Bin 125,JGMXT05.3382,pickup,3,12/16,17/23,14/19,3,No,455/475
CHEVROLET Silverado 15,5.3,8,Auto-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JGMXT05.3384,pickup,3,16,23,19,3,No,476
CHEVROLET Silverado 15,5.3,8,Auto-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JGMXT05.3384,special purpose,3,15,20,17,3,No,523
CHEVROLET Silverado 15,5.3,8,Auto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JGMXT05.3384,pickup,3,16,23,19,3,No,476
CHEVROLET Silverado 15,5.3,8,Auto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JGMXT05.3384,special purpose,3,15,20,17,3,No,523
CHEVROLET Silverado 15,5.3,8,Auto-6,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JGMXT05.3384,pickup,3,16,22,18,3,No,491
CHEVROLET Silverado 15,5.3,8,Auto-6,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JGMXT05.3384,special purpose,3,15,19,17,3,No,523
CHEVROLET Silverado 15,5.3,8,Auto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JGMXT05.3384,pickup,3,16,22,18,3,No,491
CHEVROLET Silverado 15,5.3,8,Auto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JGMXT05.3384,special purpose,3,15,19,17,3,No,523
CHEVROLET Silverado 15,5.3,8,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JGMXT05.3383,pickup,3,18,24,20,4,No,447
CHEVROLET Silverado 15,5.3,8,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JGMXT05.3383,pickup,3,18,24,20,4,No,447
CHEVROLET Silverado 15,5.3,8,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JGMXT05.3384,pickup,3,16,22,18,3,No,495
CHEVROLET Silverado 15,5.3,8,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JGMXT05.3384,pickup,3,16,22,18,3,No,495
CHEVROLET Silverado 15,5.3,8,Auto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JGMXT05.3383,pickup,3,16,21,18,3,No,490
CHEVROLET Silverado 15,5.3,8,Auto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JGMXT05.3383,pickup,3,16,21,18,3,No,490
CHEVROLET Silverado 15,5.3,8,Auto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JGMXT05.3384,pickup,3,15,20,17,3,No,522
CHEVROLET Silverado 15,5.3,8,Auto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JGMXT05.3384,pickup,3,15,20,17,3,No,522
CHEVROLET Silverado 15,6.2,8,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JGMXT06.2374,pickup,3,15,21,17,3,No,522
CHEVROLET Silverado 15,6.2,8,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JGMXT06.2374,pickup,3,15,21,17,3,No,522
CHEVROLET Silverado 15,6.2,8,Auto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JGMXT06.2374,pickup,3,15,20,17,3,No,524
CHEVROLET Silverado 15,6.2,8,Auto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JGMXT06.2374,pickup,3,15,20,17,3,No,524
CHEVROLET Sonic,1.4,4,Man-6,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.4099,small car,3,28,37,32,7,Yes,280
CHEVROLET Sonic,1.4,4,Man-6,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.4099,small car,3,28,37,32,7,Yes,280
CHEVROLET Sonic,1.4,4,SemiAuto-6,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.4099,small car,3,27,35,30,7,Yes,296
CHEVROLET Sonic,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.4099,small car,3,27,35,30,7,Yes,296
CHEVROLET Sonic 5,1.4,4,Man-6,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.4099,station wagon,3,28,37,32,7,Yes,280
CHEVROLET Sonic 5,1.4,4,Man-6,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.4099,station wagon,3,28,37,32,7,Yes,280
CHEVROLET Sonic 5,1.4,4,SemiAuto-6,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.4099,station wagon,3,27,35,30,7,Yes,296
CHEVROLET Sonic 5,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.4099,station wagon,3,27,35,30,7,Yes,296
CHEVROLET Suburban 1500,5.3,8,Auto-6,2WD,Ethanol/Gas,CA,L3ULEV125,California LEV-III ULEV125,JGMXT05.3382,standard SUV,3,12/16,17/23,14/19,3,No,443/468
CHEVROLET Suburban 1500,5.3,8,Auto-6,2WD,Ethanol/Gas,FA,T3B125,Federal Tier 3 Bin 125,JGMXT05.3382,standard SUV,3,12/16,17/23,14/19,3,No,443/468
CHEVROLET Suburban 1500,5.3,8,Auto-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JGMXT05.3384,standard SUV,3,16,23,19,3,No,468
CHEVROLET Suburban 1500,5.3,8,Auto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JGMXT05.3384,standard SUV,3,16,23,19,3,No,468
CHEVROLET Suburban 1500,5.3,8,Auto-6,4WD,Ethanol/Gas,CA,L3ULEV125,California LEV-III ULEV125,JGMXT05.3382,standard SUV,3,11/16,15/22,12/18,3,No,516/483
CHEVROLET Suburban 1500,5.3,8,Auto-6,4WD,Ethanol/Gas,FA,T3B125,Federal Tier 3 Bin 125,JGMXT05.3382,standard SUV,3,11/16,15/22,12/18,3,No,516/483
CHEVROLET Suburban 1500,5.3,8,Auto-6,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JGMXT05.3384,standard SUV,3,15,22,18,3,No,504
CHEVROLET Suburban 1500,5.3,8,Auto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JGMXT05.3384,standard SUV,3,15,22,18,3,No,504
CHEVROLET Tahoe 1500,5.3,8,Auto-6,2WD,Ethanol/Gas,CA,L3ULEV125,California LEV-III ULEV125,JGMXT05.3382,standard SUV,3,12/16,17/23,14/19,3,No,443/468
CHEVROLET Tahoe 1500,5.3,8,Auto-6,2WD,Ethanol/Gas,FA,T3B125,Federal Tier 3 Bin 125,JGMXT05.3382,standard SUV,3,12/16,17/23,14/19,3,No,443/468
CHEVROLET Tahoe 1500,5.3,8,Auto-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JGMXT05.3384,standard SUV,3,16,23,19,3,No,468
CHEVROLET Tahoe 1500,5.3,8,Auto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JGMXT05.3384,standard SUV,3,16,23,19,3,No,468
CHEVROLET Tahoe 1500,5.3,8,Auto-6,4WD,Ethanol/Gas,CA,L3ULEV125,California LEV-III ULEV125,JGMXT05.3382,standard SUV,3,11/16,16/22,13/18,3,No,482/497
CHEVROLET Tahoe 1500,5.3,8,Auto-6,4WD,Ethanol/Gas,FA,T3B125,Federal Tier 3 Bin 125,JGMXT05.3382,standard SUV,3,11/16,16/22,13/18,3,No,482/497
CHEVROLET Tahoe 1500,5.3,8,Auto-6,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JGMXT05.3384,standard SUV,3,16,22,18,3,No,497
CHEVROLET Tahoe 1500,5.3,8,Auto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JGMXT05.3384,standard SUV,3,16,22,18,3,No,497
CHEVROLET Tahoe 1500,6.2,8,Auto-10,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JGMXT06.2374,standard SUV,3,14,23,17,3,No,517
CHEVROLET Tahoe 1500,6.2,8,Auto-10,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JGMXT06.2374,standard SUV,3,14,23,17,3,No,517
CHEVROLET Tahoe 1500,6.2,8,Auto-10,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JGMXT06.2374,standard SUV,3,14,22,17,3,No,523
CHEVROLET Tahoe 1500,6.2,8,Auto-10,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JGMXT06.2374,standard SUV,3,14,22,17,3,No,523
CHEVROLET Traverse,3.6,6,SemiAuto-9,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JGMXT03.6151,standard SUV,5,18,27,21,4,No,416
CHEVROLET Traverse,3.6,6,SemiAuto-9,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JGMXT03.6151,standard SUV,5,18,27,21,4,No,416
CHEVROLET Traverse,3.6,6,SemiAuto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JGMXT03.6151,standard SUV,5,17,25,20,4,No,444
CHEVROLET Traverse,3.6,6,SemiAuto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JGMXT03.6151,standard SUV,5,17,25,20,4,No,444
CHEVROLET Trax,1.4,4,SemiAuto-6,4WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.4099,small SUV,3,24,30,27,6,No,335
CHEVROLET Trax,1.4,4,SemiAuto-6,4WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.4099,small SUV,3,24,30,27,6,No,335
CHEVROLET Volt,1.5,4,CVT,2WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,JGMXV01.5020,small car,3,43/113,42/99,42/106,10,Yes,51
CHEVROLET Volt,1.5,4,CVT,2WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,JGMXV01.5020,small car,3,43/113,42/99,42/106,10,Yes,51
CHEVROLET Volt,1.5,4,CVT,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JGMXV01.5030,small car,7,43/113,42/99,42/106,10,Elite,51
CHEVROLET Volt,1.5,4,CVT,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JGMXV01.5030,small car,7,43/113,42/99,42/106,10,Elite,51
CHRYSLER 300,3.6,6,Auto-8,2WD,Ethanol/Gas,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV03.65PA,large car,3,14/19,22/30,17/23,5,No,376/389
CHRYSLER 300,3.6,6,Auto-8,2WD,Ethanol/Gas,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV03.65PA,large car,3,14/19,22/30,17/23,5,No,376/389
CHRYSLER 300,3.6,6,Auto-8,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV03.65P0,large car,3,19,30,23,5,No,389
CHRYSLER 300,3.6,6,Auto-8,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV03.65P0,large car,3,19,30,23,5,No,389
CHRYSLER 300,3.6,6,Auto-8,4WD,Ethanol/Gas,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV03.65PA,large car,3,13/18,20/27,16/21,4,No,399/415
CHRYSLER 300,3.6,6,Auto-8,4WD,Ethanol/Gas,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV03.65PA,large car,3,13/18,20/27,16/21,4,No,399/415
CHRYSLER 300,3.6,6,Auto-8,4WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV03.65P0,large car,3,18,27,21,4,No,415
CHRYSLER 300,3.6,6,Auto-8,4WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV03.65P0,large car,3,18,27,21,4,No,415
CHRYSLER 300,5.7,8,Auto-8,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV05.75P1,large car,3,16,25,19,3,No,466
CHRYSLER 300,5.7,8,Auto-8,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV05.75P1,large car,3,16,25,19,3,No,466
CHRYSLER Pacifica,3.6,6,Auto-9,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT03.65P4,minivan,3,18,28,22,4,No,416
CHRYSLER Pacifica,3.6,6,Auto-9,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT03.65P4,minivan,3,19,28,22,4,No,401
CHRYSLER Pacifica,3.6,6,Auto-9,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT03.65P4,minivan,3,18,28,22,4,No,416
CHRYSLER Pacifica,3.6,6,Auto-9,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT03.65P4,minivan,3,19,28,22,4,No,401
DODGE Challenger,3.6,6,Auto-8,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV03.65P0,midsize car,3,19,30,23,5,No,389
DODGE Challenger,3.6,6,Auto-8,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV03.65P0,midsize car,3,19,30,23,5,No,389
DODGE Challenger,5.7,8,Auto-8,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV05.75P1,midsize car,3,16,25,19,3,No,466
DODGE Challenger,5.7,8,Auto-8,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV05.75P1,midsize car,3,16,25,19,3,No,466
DODGE Challenger,5.7,8,Man-6,2WD,Gasoline,CA,L2,California LEV-II LEV,JCRXV06.45P0,midsize car,1,15,23,18,3,No,494
DODGE Challenger,5.7,8,Man-6,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,JCRXV06.45P0,midsize car,1,15,23,18,3,No,494
DODGE Challenger,6.4,8,Auto-8,2WD,Gasoline,CA,L2,California LEV-II LEV,JCRXV06.45P0,midsize car,1,15,25,18,3,No,486
DODGE Challenger,6.4,8,Auto-8,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,JCRXV06.45P0,midsize car,1,15,25,18,3,No,486
DODGE Challenger,6.4,8,Man-6,2WD,Gasoline,CA,L2,California LEV-II LEV,JCRXV06.45P0,midsize car,1,14,23,17,3,No,523
DODGE Challenger,6.4,8,Man-6,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,JCRXV06.45P0,midsize car,1,14,23,17,3,No,523
DODGE Challenger GT,3.6,6,Auto-8,4WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV03.65P0,midsize car,3,18,27,21,4,No,415
DODGE Challenger GT,3.6,6,Auto-8,4WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV03.65P0,midsize car,3,18,27,21,4,No,415
DODGE Challenger SRT,6.2,8,Auto-8,2WD,Gasoline,CA,L2,California LEV-II LEV,JCRXV06.25P0,midsize car,1,13,22,16,2,No,546
DODGE Challenger SRT,6.2,8,Auto-8,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,JCRXV06.25P0,midsize car,1,13,22,16,2,No,546
DODGE Challenger SRT,6.2,8,Man-6,2WD,Gasoline,CA,L2,California LEV-II LEV,JCRXV06.25P0,midsize car,1,13,21,16,2,No,567
DODGE Challenger SRT,6.2,8,Man-6,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,JCRXV06.25P0,midsize car,1,13,21,16,2,No,567
DODGE Challenger SRT,6.4,8,Auto-8,2WD,Gasoline,CA,L2,California LEV-II LEV,JCRXV06.45P0,midsize car,1,15,25,18,3,No,486
DODGE Challenger SRT,6.4,8,Auto-8,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,JCRXV06.45P0,midsize car,1,15,25,18,3,No,486
DODGE Challenger SRT,6.4,8,Man-6,2WD,Gasoline,CA,L2,California LEV-II LEV,JCRXV06.45P0,midsize car,1,14,23,17,3,No,523
DODGE Challenger SRT,6.4,8,Man-6,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,JCRXV06.45P0,midsize car,1,14,23,17,3,No,523
DODGE Charger,3.6,6,Auto-8,2WD,Ethanol/Gas,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV03.65PA,large car,3,14/19,22/30,17/23,5,No,376/389
DODGE Charger,3.6,6,Auto-8,2WD,Ethanol/Gas,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV03.65PA,large car,3,14/19,22/30,17/23,5,No,376/389
DODGE Charger,3.6,6,Auto-8,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV03.65P0,large car,3,19,30,23,5,No,389
DODGE Charger,3.6,6,Auto-8,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV03.65P0,large car,3,19,30,23,5,No,389
DODGE Charger,3.6,6,Auto-8,4WD,Ethanol/Gas,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV03.65PA,large car,3,13/18,20/27,16/21,4,No,399/415
DODGE Charger,3.6,6,Auto-8,4WD,Ethanol/Gas,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV03.65PA,large car,3,13/18,20/27,16/21,4,No,399/415
DODGE Charger,3.6,6,Auto-8,4WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV03.65P0,large car,3,18,27,21,4,No,415
DODGE Charger,3.6,6,Auto-8,4WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV03.65P0,large car,3,18,27,21,4,No,415
DODGE Charger,5.7,8,Auto-8,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV05.75P1,large car,3,16,25,19,3,No,466
DODGE Charger,5.7,8,Auto-8,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXV05.75P1,large car,3,16,25,19,3,No,466
DODGE Charger,6.4,8,Auto-8,2WD,Gasoline,CA,L2,California LEV-II LEV,JCRXV06.45P0,large car,1,15,25,18,3,No,486
DODGE Charger,6.4,8,Auto-8,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,JCRXV06.45P0,large car,1,15,25,18,3,No,486
DODGE Charger SRT,6.2,8,Auto-8,2WD,Gasoline,CA,L2,California LEV-II LEV,JCRXV06.25P0,large car,1,13,22,16,2,No,546
DODGE Charger SRT,6.2,8,Auto-8,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,JCRXV06.25P0,large car,1,13,22,16,2,No,546
DODGE Charger SRT,6.4,8,Auto-8,2WD,Gasoline,CA,L2,California LEV-II LEV,JCRXV06.45P0,large car,1,15,25,18,3,No,486
DODGE Charger SRT,6.4,8,Auto-8,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,JCRXV06.45P0,large car,1,15,25,18,3,No,486
DODGE Durango,3.6,6,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JCRXT03.65P5,standard SUV,5,19,26,21,4,No,414
DODGE Durango,3.6,6,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JCRXT03.65P5,standard SUV,5,19,26,21,4,No,414
DODGE Durango,3.6,6,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JCRXT03.65P5,standard SUV,5,18,25,21,4,No,427
DODGE Durango,3.6,6,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JCRXT03.65P5,standard SUV,5,18,25,21,4,No,427
DODGE Durango,5.7,8,Auto-8,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT05.75P2,standard SUV,3,14,22,17,3,No,525
DODGE Durango,5.7,8,Auto-8,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT05.75P2,standard SUV,3,14,22,17,3,No,525
DODGE Durango,5.7,8,Auto-8,4WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT05.75P2,standard SUV,3,14,22,17,3,No,533
DODGE Durango,5.7,8,Auto-8,4WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT05.75P2,standard SUV,3,14,22,17,3,No,533
DODGE Durango  SRT,6.4,8,Auto-8,4WD,Gasoline,CA,L2,California LEV-II LEV,JCRXT06.45P1,standard SUV,1,13,19,15,2,No,584
DODGE Durango  SRT,6.4,8,Auto-8,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,JCRXT06.45P1,standard SUV,1,13,19,15,2,No,584
DODGE Journey,2.4,4,Auto-4,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT02.45P2,small SUV,3,19,25,21,4,No,420
DODGE Journey,2.4,4,Auto-4,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT02.45P2,small SUV,3,19,25,21,4,No,420
DODGE Journey,3.6,6,Auto-6,2WD,Ethanol/Gas,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT03.65PC,small SUV,3,12/17,18/25,14/19,3,No,440/456
DODGE Journey,3.6,6,Auto-6,4WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT03.65P4,small SUV,3,16,24,19,3,No,470
DODGE Journey,3.6,6,Auto-6,4WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT03.65P4,small SUV,3,16,24,19,3,No,470
FERRARI 488 Spider,3.9,8,AutoMan-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JFEXV03.9TUR,small car,3,15,22,18,3,No,501
FERRARI 488 Spider,3.9,8,AutoMan-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JFEXV03.9TUR,small car,3,16,22,18,3,No,495
FERRARI 488 Spider,3.9,8,AutoMan-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JFEXV03.9TUR,small car,3,15,22,18,3,No,501
FERRARI 488 Spider,3.9,8,AutoMan-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JFEXV03.9TUR,small car,3,16,22,18,3,No,495
FERRARI 488 gtb,3.9,8,AutoMan-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JFEXV03.9TUR,small car,3,15,22,18,3,No,501
FERRARI 488 gtb,3.9,8,AutoMan-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JFEXV03.9TUR,small car,3,16,22,18,3,No,495
FERRARI 488 gtb,3.9,8,AutoMan-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JFEXV03.9TUR,small car,3,15,22,18,3,No,501
FERRARI 488 gtb,3.9,8,AutoMan-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JFEXV03.9TUR,small car,3,16,22,18,3,No,495
FERRARI 812 Superfast,6.5,12,AutoMan-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JFEXV06.5GDI,small car,3,12,16,13,1,No,661
FERRARI 812 Superfast,6.5,12,AutoMan-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JFEXV06.5GDI,small car,3,12,16,13,1,No,661
