"division","level of education","training level","work experience","salary","sales"
"computer hardware","associate's degree","2","4","85855","348551"
"peripherals","associate's degree","0","9","94675","366753"
"peripherals","associate's degree","1","9","100056","420563"
"peripherals","associate's degree","2","12","135671","578150"
"computer hardware","some college","0","9","100242","351327"
"peripherals","associate's degree","0","6","90442","277729"
"printers","some college","2","4","76365","298147"
"office supplies","associate's degree","2","3","79130","291589"
"office supplies","some college","1","8","89132","391320"
"office supplies","some college","0","10","97288","361131"
"peripherals","associate's degree","1","2","67560","235596"
"computer hardware","bachelor's degree","0","8","101419","328228"
"printers","high school","2","6","83053","382030"
"office supplies","associate's degree","1","6","84964","293724"
"peripherals","bachelor's degree","1","5","84735","258815"
"computer hardware","associate's degree","2","5","98141","333102"
"printers","some college","3","7","104356","494027"
"peripherals","some college","3","6","96518","444301"
"computer hardware","some college","0","8","95835","329140"
"office supplies","associate's degree","1","11","112283","470708"
"printers","some college","2","9","98581","465810"
"printers","high school","3","6","86960","436405"
"printers","some college","2","8","105117","451331"
"office supplies","associate's degree","2","2","66095","240945"
"computer software","some college","2","1","82430","209951"
"office supplies","associate's degree","1","7","86275","323552"
"office supplies","associate's degree","0","8","92642","344139"
"peripherals","some college","1","4","78704","233764"
"peripherals","some college","2","7","94214","370617"
"peripherals","high school","1","4","72720","272837"
"computer hardware","some college","1","7","86520","335202"
"peripherals","some college","2","6","85166","366104"
"computer hardware","associate's degree","2","0","63577","173739"
"printers","some college","3","7","92805","448046"
"computer hardware","associate's degree","1","8","98232","388747"
"peripherals","bachelor's degree","1","7","96042","362522"
"computer hardware","some college","2","7","106224","418829"
"computer software","associate's degree","1","10","129220","418925"
"printers","associate's degree","0","6","70979","209785"
"computer software","associate's degree","1","8","116949","360124"
"office supplies","associate's degree","1","10","109048","436199"
"printers","high school","1","5","78469","350671"
"peripherals","some college","1","12","119409","507023"
"printers","some college","1","5","79744","271175"
"office supplies","some college","1","6","87556","325215"
"printers","some college","1","3","69827","238138"
"office supplies","some college","2","6","85745","329483"
"printers","associate's degree","1","8","105237","385206"
"office supplies","associate's degree","1","9","103761","389133"
"office supplies","associate's degree","1","5","77699","268046"
"printers","high school","0","4","63283","168339"
"office supplies","some college","0","6","87350","288436"
"office supplies","associate's degree","3","2","74259","297072"
"printers","associate's degree","2","7","98483","433108"
"computer hardware","associate's degree","3","7","110858","460587"
"printers","bachelor's degree","1","5","90118","270684"
"printers","some college","1","9","94911","400392"
"office supplies","some college","2","9","105171","457269"
"printers","associate's degree","1","12","111590","495904"
"printers","associate's degree","1","4","75004","257053"
"computer hardware","high school","0","4","76346","227602"
"peripherals","some college","1","13","117351","534780"
"peripherals","some college","2","3","73577","297758"
"printers","some college","3","8","107303","504507"
"printers","some college","1","5","85711","270960"
"computer hardware","bachelor's degree","1","3","76771","237706"
"peripherals","some college","1","9","105175","431736"
"printers","associate's degree","2","9","108495","452183"
"office supplies","bachelor's degree","2","7","97227","392294"
"peripherals","some college","3","6","96253","442181"
"peripherals","associate's degree","0","12","113304","471896"
"computer hardware","some college","1","8","96353","407367"
"printers","associate's degree","1","6","91256","329556"
"printers","some college","2","9","98854","457299"
"peripherals","associate's degree","1","4","84568","272085"
"office supplies","associate's degree","1","4","73722","250725"
"printers","high school","2","10","112273","525901"
"computer hardware","some college","1","7","92509","367191"
"office supplies","associate's degree","1","7","83017","310166"
"peripherals","associate's degree","1","9","96399","383881"
"computer hardware","some college","3","10","120815","588189"
"printers","some college","1","7","86363","368084"
"office supplies","high school","1","2","62740","257699"
"office supplies","associate's degree","2","9","111905","459575"
"peripherals","associate's degree","1","8","94471","350287"
"printers","associate's degree","2","1","62487","214119"
"office supplies","some college","3","6","93077","415160"
"computer software","associate's degree","0","6","95739","260803"
"office supplies","associate's degree","2","9","110886","483641"
"peripherals","some college","2","7","100774","434019"
"printers","associate's degree","0","5","64936","169358"
"office supplies","associate's degree","1","11","101586","412769"
"office supplies","bachelor's degree","0","4","82898","201243"
"printers","associate's degree","3","11","129118","610023"
"peripherals","bachelor's degree","1","1","74725","137249"
"computer software","some college","1","3","78124","231239"
"office supplies","associate's degree","2","4","87410","356617"
"peripherals","bachelor's degree","0","3","71042","174283"
"office supplies","associate's degree","0","7","83735","272203"
"office supplies","high school","2","4","75335","348360"
"computer hardware","associate's degree","1","4","77036","238526"
"office supplies","associate's degree","1","10","107818","427588"
"printers","some college","2","2","66761","204059"
"computer hardware","high school","1","14","120147","538353"
"peripherals","associate's degree","0","13","127559","465587"
"computer hardware","bachelor's degree","2","11","131252","520742"
"office supplies","bachelor's degree","0","7","92509","298713"
"office supplies","associate's degree","1","5","77504","295040"
"computer hardware","high school","1","8","90630","396301"
"computer hardware","some college","0","5","77162","204332"
"computer hardware","some college","1","8","95302","357690"
"computer hardware","bachelor's degree","0","9","102443","374427"
"computer software","associate's degree","1","5","101700","338099"
"office supplies","associate's degree","2","10","119894","536112"
"computer hardware","associate's degree","0","7","84973","244982"
"office supplies","some college","0","2","50739","127391"
"printers","some college","3","6","91805","407967"
"office supplies","some college","2","7","95857","426029"
"peripherals","associate's degree","2","5","85691","356912"
"office supplies","some college","2","3","84434","330514"
"peripherals","some college","2","3","78273","324155"
"office supplies","associate's degree","2","8","99474","454739"
"computer hardware","bachelor's degree","0","0","57413","53067"
"peripherals","associate's degree","1","8","94980","347759"
"computer hardware","some college","0","7","77405","239713"
"printers","bachelor's degree","1","9","116759","417984"
"computer hardware","some college","2","9","112642","449967"
"printers","some college","1","8","88464","367525"
"printers","some college","1","2","60846","197352"
"computer software","some college","2","5","98999","396174"
"office supplies","some college","1","3","72698","181481"
"printers","associate's degree","1","5","86298","278249"
"computer software","some college","3","4","101838","362642"
"peripherals","associate's degree","1","7","92290","357007"
"printers","associate's degree","0","5","70856","228557"
"peripherals","bachelor's degree","0","12","122701","459803"
"peripherals","some college","3","6","98001","460685"
"office supplies","high school","0","7","72175","243539"
"office supplies","associate's degree","1","3","67633","171932"
"computer hardware","some college","3","13","143988","677672"
"peripherals","associate's degree","1","1","71352","170407"
"computer software","some college","3","11","138274","608986"
"peripherals","some college","2","8","101156","447111"
"peripherals","bachelor's degree","1","4","80829","247537"
"office supplies","some college","0","7","82517","303100"
"office supplies","associate's degree","1","5","90531","296216"
"printers","some college","1","7","96071","401703"
"printers","some college","1","4","79632","291056"
"peripherals","some college","1","10","102233","462334"
"computer hardware","high school","1","8","97326","411363"
"computer software","some college","0","6","96323","272845"
"printers","bachelor's degree","2","3","73597","255967"
"office supplies","associate's degree","2","4","80772","272980"
"peripherals","associate's degree","2","5","89734","313503"
"office supplies","associate's degree","2","5","92848","385723"
"printers","some college","2","0","67253","213076"
"printers","bachelor's degree","1","8","105922","387613"
"office supplies","some college","1","1","62443","226142"
"printers","some college","3","3","85081","374710"
"printers","associate's degree","1","6","85420","331719"
"office supplies","associate's degree","1","8","94776","300446"
"computer hardware","associate's degree","0","4","74510","230272"
"printers","some college","2","6","89934","370609"
"peripherals","some college","2","5","95216","399315"
"peripherals","some college","2","12","119945","572559"
"peripherals","some college","2","3","69705","277048"
"computer software","some college","3","6","108486","414238"
"office supplies","associate's degree","2","7","98615","444615"
"office supplies","some college","0","7","89894","314335"
"office supplies","bachelor's degree","1","9","107326","396036"
"peripherals","associate's degree","0","9","99668","337032"
"computer hardware","associate's degree","0","8","100099","301413"
"office supplies","associate's degree","2","8","107426","457765"
"printers","associate's degree","1","8","95622","370707"
"computer software","associate's degree","2","4","99848","342905"
"office supplies","some college","1","5","76215","274910"
"printers","high school","1","5","72716","282930"
"printers","some college","2","6","84220","379938"
"peripherals","some college","1","7","81292","312922"
"peripherals","some college","0","5","75866","231640"
"peripherals","associate's degree","0","4","80193","223778"
"computer hardware","some college","0","0","56010","97552"
"peripherals","associate's degree","0","2","60030","128325"
"peripherals","bachelor's degree","3","1","86461","318244"
"office supplies","associate's degree","2","14","129575","621486"
"peripherals","associate's degree","1","10","111442","441106"
"office supplies","some college","0","6","72385","192233"
"peripherals","bachelor's degree","2","7","111061","453070"
"computer software","bachelor's degree","1","6","101270","322697"
"printers","high school","2","4","71895","305898"
"computer hardware","associate's degree","1","2","64718","177181"
"computer hardware","some college","3","10","123589","556354"
"office supplies","some college","2","4","76802","318534"
"peripherals","some college","2","8","94520","425195"
"office supplies","some college","0","10","100112","392252"
"peripherals","associate's degree","1","7","85660","316600"
"peripherals","some college","1","7","86439","321843"
"printers","high school","1","7","86620","402418"
"computer software","some college","0","6","86213","233950"
"office supplies","associate's degree","2","1","72745","238238"
"peripherals","high school","1","3","67464","223983"
"peripherals","bachelor's degree","1","4","91639","299176"
"computer hardware","high school","3","4","95202","387682"
"printers","associate's degree","1","2","59334","173340"
"office supplies","associate's degree","2","7","103774","396913"
"office supplies","bachelor's degree","2","5","90590","309049"
"office supplies","associate's degree","1","7","93986","365605"
"printers","high school","2","13","125558","590723"
"peripherals","associate's degree","1","11","109129","437983"
"computer hardware","associate's degree","0","5","87596","255357"
"computer software","bachelor's degree","2","8","119606","431633"
"office supplies","associate's degree","0","11","112804","454416"
"peripherals","associate's degree","2","4","86388","330780"
"printers","some college","1","3","65696","230873"
"computer software","associate's degree","0","9","110110","327684"
"printers","bachelor's degree","3","5","100417","401208"
"office supplies","associate's degree","1","9","108222","372218"
"printers","associate's degree","0","11","103480","407759"
"office supplies","bachelor's degree","0","0","51599","76375"
"computer hardware","some college","2","5","90974","343053"
"office supplies","associate's degree","2","7","104622","432866"
"computer software","some college","3","10","126113","571131"
"peripherals","associate's degree","2","9","109607","500406"
"computer hardware","high school","1","6","84411","374111"
"peripherals","some college","0","8","92233","302086"
"office supplies","some college","2","5","88566","341433"
"peripherals","some college","2","6","91588","394603"
"office supplies","some college","1","5","85057","337915"
"peripherals","high school","1","2","59557","136311"
"printers","some college","1","4","72540","211754"
"printers","associate's degree","1","6","89262","350894"
"office supplies","associate's degree","2","10","113433","470873"
"computer hardware","associate's degree","1","10","110633","435525"
"printers","bachelor's degree","2","2","73312","237554"
"office supplies","associate's degree","2","0","52178","129689"
"computer hardware","bachelor's degree","0","4","80193","214293"
"office supplies","associate's degree","2","9","102796","448204"
"peripherals","some college","2","8","102610","445923"
"computer software","some college","2","7","97061","340611"
"printers","associate's degree","2","9","106364","503644"
"peripherals","high school","2","4","79584","330836"
"printers","associate's degree","1","10","107893","466895"
"peripherals","some college","2","5","87826","395069"
"printers","associate's degree","2","8","101172","441945"
"peripherals","associate's degree","2","0","71116","164359"
"computer software","associate's degree","2","7","112567","431930"
"office supplies","some college","0","5","65530","208889"
"printers","some college","1","7","88057","362276"
"peripherals","some college","0","5","67368","213682"
"printers","some college","1","12","113975","522712"
"office supplies","associate's degree","0","10","102935","377240"
"computer hardware","associate's degree","2","8","98404","376435"
"printers","high school","1","1","59678","202325"
"peripherals","associate's degree","1","8","110985","399847"
"printers","associate's degree","1","8","108280","429053"
"computer hardware","some college","1","10","104095","446255"
"office supplies","associate's degree","1","10","107842","498424"
"printers","some college","2","4","75595","335949"
"office supplies","associate's degree","1","6","90828","360187"
"computer software","associate's degree","1","5","101447","347286"
"printers","associate's degree","1","7","90898","388981"
"computer software","high school","1","9","114440","392890"
"computer software","some college","1","4","86708","287512"
"peripherals","associate's degree","2","2","79599","250255"
"office supplies","associate's degree","3","4","89173","358117"
"office supplies","associate's degree","0","7","81369","293685"
"printers","bachelor's degree","2","7","99713","407520"
"printers","some college","1","13","110095","500953"
"computer software","high school","1","5","91068","307717"
"printers","high school","3","5","85560","413039"
"peripherals","associate's degree","2","1","74057","254524"
"computer software","associate's degree","2","13","140740","606125"
"office supplies","some college","2","8","102820","463503"
"office supplies","associate's degree","2","5","85727","377268"
"printers","associate's degree","1","6","86396","311189"
"computer hardware","some college","2","11","111642","506418"
"printers","associate's degree","1","4","84520","266323"
"computer software","bachelor's degree","1","6","109082","400822"
"printers","some college","2","2","75542","298286"
"peripherals","high school","2","9","96879","468787"
"printers","associate's degree","1","5","78188","284560"
"printers","some college","1","2","56917","189174"
"computer software","some college","3","2","86397","292413"
"office supplies","some college","2","4","72982","309822"
"office supplies","associate's degree","1","6","90750","292718"
"office supplies","associate's degree","1","5","80182","245208"
"peripherals","some college","1","2","65611","191799"
"peripherals","high school","0","1","48571","84905"
"printers","associate's degree","0","7","90987","320230"
"printers","some college","2","7","88298","402773"
"printers","associate's degree","0","6","84898","203509"
"computer hardware","associate's degree","2","6","101468","407663"
"peripherals","associate's degree","3","4","88070","353824"
"office supplies","associate's degree","0","3","76861","214382"
"office supplies","associate's degree","2","0","67380","218699"
"office supplies","associate's degree","1","10","109988","446283"
"office supplies","some college","1","6","78108","315024"
"office supplies","associate's degree","1","4","77455","228234"
"computer hardware","associate's degree","3","4","97302","390870"
"printers","some college","1","11","102647","466472"
"office supplies","some college","2","10","120715","550561"
"computer hardware","associate's degree","3","7","115905","533460"
"computer hardware","some college","1","10","110994","510497"
"printers","some college","0","4","66960","201139"
"peripherals","associate's degree","2","5","89008","374772"
"peripherals","some college","1","8","102782","385129"
"printers","high school","1","3","73447","281414"
"computer hardware","some college","1","7","90957","318381"
"office supplies","associate's degree","0","7","90349","310658"
"office supplies","high school","2","3","67926","223319"
"computer hardware","associate's degree","0","8","99517","362765"
"peripherals","some college","1","7","82780","319843"
"computer hardware","some college","1","6","92324","348726"
"printers","some college","3","6","89156","431558"
"computer software","associate's degree","2","5","100245","316246"
"printers","associate's degree","0","8","86134","321336"
"peripherals","bachelor's degree","1","7","103209","373067"
"peripherals","associate's degree","0","9","94884","358823"
"office supplies","associate's degree","1","7","96361","339365"
"computer hardware","high school","1","7","98578","345781"
"office supplies","high school","2","6","87714","385923"
"computer software","associate's degree","2","4","96026","333042"
"computer software","some college","1","3","81455","264545"
"office supplies","some college","0","8","87527","282658"
"peripherals","high school","2","2","72642","241375"
"office supplies","some college","2","7","97993","410671"
"office supplies","some college","1","6","91735","333017"
"peripherals","some college","0","5","72103","207031"
"printers","some college","2","3","70379","280168"
"computer hardware","high school","2","3","78706","277235"
"peripherals","associate's degree","3","8","114581","520866"
"printers","associate's degree","1","8","88117","341173"
"printers","some college","0","3","68353","175274"
"computer software","associate's degree","2","4","99417","313247"
"peripherals","some college","2","0","51072","150716"
"printers","some college","0","9","89281","348428"
"printers","high school","1","5","75139","310468"
"computer hardware","associate's degree","1","1","70083","177953"
"computer software","associate's degree","1","0","68648","103703"
"peripherals","associate's degree","2","8","108354","450011"
"peripherals","associate's degree","2","3","79035","330354"
"computer hardware","some college","0","9","108444","364436"
