id,date,time,country_name,state/province,population,landslide_type,trigger,fatalities
2062,7/12/10,5:30:00,Honduras,Francisco Morazán ,850848,Mudslide,Downpour,1.0
2065,7/13/10,,United States,New York,1041,Complex,Downpour,0.0
2066,7/13/10,,United States,West Virginia,1860,Mudslide,Downpour,0.0
2085,7/16/10,6:00:00,Canada,Ontario,33232,Mudslide,Downpour,0.0
2086,7/16/10,Late evening,United States,Georgia,9432,Landslide,Downpour,0.0
2093,7/18/10,,Honduras,Francisco Morazán ,850848,Landslide,Downpour,0.0
2101,7/20/10,,United States,Arizona,65870,Debris flow,Downpour,0.0
2107,7/21/10,,Guatemala,Guatemala,97172,Landslide,Downpour,5.0
2108,7/21/10,8:00:00,United States,West Virginia,49138,Landslide,Downpour,0.0
2114,7/22/10,Overnight,Mexico,Chiapas,9570,Mudslide,Downpour,3.0
2115,7/22/10,,Mexico,Chiapas,128996,Rockfall,Downpour,0.0
2123,7/23/10,14:30:00,United States,Colorado,16887,Rockfall,Downpour,0.0
2124,7/23/10,,United States,New Mexico,9051,Landslide,Downpour,0.0
2142,7/26/10,15:45:00,United States,Colorado,1320,Mudslide,Downpour,0.0
2149,7/27/10,Afternoon,United States,Colorado,1320,Mudslide,Downpour,0.0
2150,7/27/10,,United States,Kentucky,5955,Landslide,Downpour,0.0
2156,7/29/10,,Trinidad and Tobago,Diego Martin,8140,Landslide,Downpour,0.0
2157,7/29/10,,Trinidad and Tobago,City of Port of Spain,4342,Landslide,Downpour,0.0
2158,7/29/10,,Trinidad and Tobago,City of Port of Spain,49031,Landslide,Downpour,0.0
2174,7/30/10,9:30:00,Costa Rica,Alajuela,14448,Landslide,Rain,0.0
2175,7/30/10,,Colombia,Magdalena,88311,Mudslide,Downpour,0.0
2179,7/31/10,18:46:00,United States,Colorado,6427,Mudslide,Rain,0.0
2185,8/1/10,2:30:00,United States,Colorado,2602,Mudslide,Downpour,0.0
2186,8/1/10,19:30:00,United States,Utah,1344,Mudslide,Rain,0.0
2189,8/2/10,15:30:00,Trinidad and Tobago,Diego Martin,8140,Mudslide,Downpour,0.0
2191,8/2/10,,Mexico,The Federal District,12294193,Mudslide,Construction,2.0
2193,8/3/10,,Trinidad and Tobago,Diego Martin,8140,Landslide,Downpour,0.0
2194,8/3/10,,Colombia,Norte de Santander,2080,Complex,Downpour,4.0
2199,8/5/10,13:45:00,Trinidad and Tobago,City of Port of Spain,4342,Landslide,Downpour,0.0
2204,8/6/10,11:00:00,Trinidad and Tobago,San Juan/Laventille,157258,Landslide,Downpour,1.0
2217,8/7/10,Overnight,Honduras,Francisco Morazán ,850848,Mudslide,Downpour,3.0
2224,8/9/10,Morning,United States,Iowa,25023,Mudslide,Downpour,0.0
2233,8/11/10,,Jamaica,Saint Andrew,8551,Complex,Downpour,0.0
2265,8/18/10,19:30:00,United States,Tennessee,1497,Complex,Downpour,0.0
2269,8/19/10,13:45:00,United States,Utah,42274,Complex,Downpour,0.0
2270,8/19/10,Afternoon,United States,Colorado,6427,Mudslide,Downpour,0.0
2271,8/19/10,15:40:00,United States,Colorado,6427,Mudslide,Downpour,0.0
2272,8/19/10,Afternoon,United States,Colorado,6427,Mudslide,Downpour,0.0
2273,8/19/10,Afternoon,United States,Colorado,6427,Mudslide,Downpour,0.0
2274,8/19/10,Afternoon,United States,Colorado,2826,Mudslide,Downpour,0.0
2275,8/19/10,Afternoon,United States,Colorado,2826,Mudslide,Downpour,0.0
2276,8/19/10,Afternoon,United States,Colorado,6427,Mudslide,Downpour,0.0
2277,8/19/10,Afternoon,United States,Colorado,9614,Mudslide,Downpour,0.0
2278,8/19/10,,United States,Utah,5046,Landslide,Downpour,0.0
2289,8/20/10,,Nicaragua,Managua,16469,Mudslide,Downpour,3.0
2300,8/21/10,Morning,Trinidad and Tobago,City of San Fernando,55419,Landslide,Downpour,0.0
2321,8/24/10,Morning,Mexico,Oaxaca,1099,Mudslide,Tropical cyclone,2.0
2322,8/24/10,Morning,Mexico,Oaxaca,1701,Mudslide,Tropical cyclone,2.0
2330,8/25/10,,Nicaragua,Jinotega,2367,Landslide,Downpour,
2331,8/25/10,,Colombia,Santander,18739,Landslide,Downpour,0.0
2333,8/25/10,14:10:00,United States,California,51367,Mudslide,Downpour,0.0
2348,8/28/10,,Guatemala,Guatemala,473080,Landslide,Downpour,0.0
2349,8/28/10,,Guatemala,Guatemala,473080,Landslide,Downpour,0.0
2350,8/28/10,,Guatemala,Guatemala,67994,Landslide,Downpour,0.0
2351,8/28/10,,Guatemala,Chiquimula,1623,Landslide,Downpour,0.0
2352,8/28/10,,Guatemala,Huehuetenango,2121,Landslide,Downpour,0.0
2353,8/28/10,,Guatemala,Sololá,2605,Landslide,Downpour,0.0
2354,8/28/10,,Guatemala,Alta Verapaz,5633,Mudslide,Downpour,2.0
2356,8/28/10,,Colombia,Santander,18739,Landslide,Downpour,0.0
2358,8/29/10,4:30:00,Honduras,Francisco Morazán ,2288,Rockfall,Downpour,5.0
2377,9/3/10,18:53:00,United States,Pennsylvania,1655,Landslide,Downpour,0.0
2384,9/4/10,,Guatemala,Sololá,27690,Landslide,Downpour,25.0
2385,9/4/10,,Guatemala,Quetzaltenango,19115,Landslide,Downpour,4.0
2386,9/4/10,,Guatemala,Quiché,2090,Landslide,Downpour,1.0
2387,9/4/10,,Guatemala,Sacatepéquez,17918,Landslide,Downpour,1.0
2388,9/4/10,,Guatemala,Chimaltenango,82370,Landslide,Downpour,10.0
2408,9/10/10,,Guatemala,Quiché,12088,Landslide,Downpour,5.0
2412,9/11/10,11:45:00,United States,Tennessee,178874,Mudslide,Downpour,0.0
2418,9/13/10,Night,Jamaica,Portland,1119,Landslide,Downpour,0.0
2438,9/17/10,,Mexico,Veracruz-Llave,1324,Landslide,Tropical cyclone,2.0
2449,9/19/10,Afternoon,Trinidad and Tobago,Couva-Tabaquite-Talparo,3314,Landslide,Downpour,0.0
2451,9/19/10,Night,United States,Virginia,11285,Mudslide,Downpour,0.0
2473,9/20/10,,Venezuela,Vargas,52564,Landslide,Downpour,7.0
2474,9/20/10,Late night,Mexico,México,9267,Landslide,Downpour,8.0
2487,9/22/10,6:00:00,United States,Arizona,1424,Complex,Downpour,0.0
2490,9/23/10,23:00:00,Canada,Quebec,17016,Landslide,Downpour,0.0
2491,9/23/10,13:00:00,United States,Wisconsin,6448,Mudslide,Downpour,0.0
2503,9/26/10,,El Salvador,Ahuachapán,5055,Landslide,Tropical cyclone,0.0
2507,9/27/10,3:00:00,Colombia,Risaralda,6940,Landslide,Downpour,4.0
2508,9/27/10,,Colombia,Antioquia,1464,Landslide,Downpour,9.0
2511,9/28/10,,Jamaica,Portland,1119,Landslide,Downpour,0.0
2514,9/28/10,4:00:00,Mexico,Oaxaca,1813,Mudslide,Tropical cyclone,11.0
2515,9/28/10,20:00:00,United States,Pennsylvania,3403,Complex,Downpour,0.0
2516,9/29/10,,Costa Rica,Alajuela,3624,Mudslide,Downpour,0.0
2517,9/29/10,,Jamaica,Saint Mary,2046,Landslide,Downpour,0.0
2518,9/29/10,,Jamaica,Saint Andrew,8551,Landslide,Tropical cyclone,0.0
2519,9/29/10,,Jamaica,Saint Catherine,12873,Landslide,Tropical cyclone,0.0
2520,9/29/10,,Mexico,Chiapas,3947,Mudslide,Tropical cyclone,16.0
2521,9/29/10,,Mexico,Chiapas,1088,Complex,Tropical cyclone,3.0
2522,9/29/10,,United States,Pennsylvania,1244,Complex,Rain,0.0
2523,9/30/10,Early morning,Jamaica,Saint Andrew,8551,Mudslide,Tropical cyclone,2.0
2524,9/30/10,Morning,Mexico,Oaxaca,1096,Mudslide,Tropical cyclone,2.0
2525,9/30/10,,United States,New York,1053,Mudslide,Tropical cyclone,0.0
2526,10/1/10,,Costa Rica,San José,2833,Landslide,Downpour,0.0
2527,10/1/10,,Costa Rica,San José,2833,Landslide,Downpour,0.0
2528,10/1/10,,Haiti,Ouest,442156,Mudslide,Downpour,3.0
2529,10/1/10,9:30:00,United States,New Hampshire,1126,Mudslide,Downpour,0.0
2530,10/1/10,Afternoon,United States,Maryland,10519,Landslide,Downpour,0.0
2533,10/3/10,13:00,Honduras,Comayagua,1484,Mudslide,Rain,0.0
2543,10/4/10,,Saint Vincent and the Grenadines,Charlotte,1680,Landslide,Downpour,0.0
2547,10/5/10,,Dominica,Saint Andrew,1020,Landslide,Rain,0.0
2550,10/6/10,,Puerto Rico,Orocovis,944,Complex,Tropical cyclone,0.0
2551,10/6/10,,U.S. Virgin Islands,Saint Croix Island,50601,Landslide,Tropical cyclone,0.0
2558,10/7/10,0:15:00,Colombia,Boyacá,1519,Mudslide,Downpour,2.0
2598,10/15/10,,Costa Rica,Heredia,1355,Rockfall,Downpour,2.0
2604,10/17/10,,Haiti,Ouest,134190,Complex,Downpour,8.0
2605,10/17/10,,Haiti,Ouest,442156,Mudslide,Downpour,2.0
2611,10/18/10,,Cuba,Provincia de La Habana,132351,Complex,Tropical cyclone,0.0
2642,10/19/10,,United States,California,7715,Mudslide,Downpour,0.0
2652,10/25/10,,Honduras,Colón,1441,Landslide,Tropical cyclone,0.0
2656,10/30/10,,Jamaica,Saint Mary,2046,Landslide,Unknown,0.0
2657,10/30/10,,Saint Vincent and the Grenadines,Charlotte,1680,Landslide,Tropical cyclone,0.0
2658,10/30/10,,Saint Lucia,Laborie,1131,Landslide,Tropical cyclone,0.0
2659,10/31/10,,Saint Lucia,Soufrière,2918,Landslide,Tropical cyclone,2.0
2660,10/31/10,,Saint Lucia,Soufrière,2918,Landslide,Tropical cyclone,2.0
2661,10/31/10,,Saint Lucia,Dennery,2870,Landslide,Tropical cyclone,0.0
2662,10/31/10,,Saint Lucia,Soufrière,2918,Landslide,Tropical cyclone,0.0
2663,10/31/10,,Saint Lucia,Soufrière,2918,Landslide,Tropical cyclone,0.0
2664,10/31/10,Early morning,Trinidad and Tobago,Sangre Grande,15968,Landslide,Tropical cyclone,0.0
2665,10/31/10,Early morning,Trinidad and Tobago,Eastern Tobago,0,Landslide,Tropical cyclone,0.0
2666,10/31/10,Morning,Trinidad and Tobago,Eastern Tobago,0,Landslide,Tropical cyclone,0.0
2667,10/31/10,Morning,Trinidad and Tobago,Tunapuna/Piarco,15067,Landslide,Tropical cyclone,0.0
2668,10/31/10,Morning,Trinidad and Tobago,Eastern Tobago,0,Landslide,Tropical cyclone,0.0
2669,10/31/10,,Trinidad and Tobago,Tobago,17000,Landslide,Downpour,0.0
2670,10/31/10,,Trinidad and Tobago,Tobago,17000,Landslide,Downpour,0.0
2680,11/4/10,0:30:00,Costa Rica,San José,12071,Complex,Tropical cyclone,23.0
2681,11/4/10,,Costa Rica,San José,4255,Mudslide,Tropical cyclone,3.0
2682,11/4/10,,Costa Rica,Alajuela,3624,Landslide,Tropical cyclone,0.0
2683,11/4/10,,Costa Rica,Guanacaste,7301,Landslide,Tropical cyclone,0.0
2684,11/4/10,,Costa Rica,Cartago,4350,Landslide,Tropical cyclone,0.0
2685,11/4/10,,Costa Rica,Puntarenas,6777,Landslide,Tropical cyclone,0.0
2686,11/4/10,,Costa Rica,San José,22433,Landslide,Tropical cyclone,0.0
2687,11/4/10,,Costa Rica,San José,34877,Landslide,Tropical cyclone,0.0
2688,11/4/10,,Costa Rica,Puntarenas,7084,Landslide,Tropical cyclone,0.0
2689,11/4/10,,Costa Rica,Puntarenas,3734,Landslide,Tropical cyclone,0.0
2690,11/4/10,,Costa Rica,Puntarenas,3850,Landslide,Tropical cyclone,0.0
2691,11/4/10,,Costa Rica,San José,34877,Landslide,Tropical cyclone,0.0
2692,11/4/10,,Costa Rica,San José,5467,Landslide,Tropical cyclone,0.0
2703,11/5/10,,Costa Rica,Alajuela,2107,Landslide,Tropical cyclone,0.0
2706,11/7/10,,Cuba,Guantanamo,48362,Landslide,Tropical cyclone,0.0
2707,11/7/10,,Peru,Huanuco,147959,Landslide,Downpour,2.0
2720,11/13/10,,Colombia,Risaralda,10895,Mudslide,Downpour,4.0
2721,11/13/10,,Colombia,Antioquia,1999979,Mudslide,Downpour,2.0
2722,11/13/10,,Colombia,Sucre,36549,Mudslide,Downpour,0.0
2728,11/16/10,Morning,Colombia,Cundinamarca,10175,Landslide,Downpour,4.0
2734,11/17/10,10:30:00,United States,Pennsylvania,2763,Landslide,Downpour,0.0
2735,11/18/10,5:30:00,Jamaica,Portland,2321,Landslide,Downpour,0.0
2736,11/20/10,,Colombia,Caldas,6224,Landslide,Downpour,5.0
2737,11/20/10,,Colombia,Caldas,6224,Landslide,Downpour,1.0
2738,11/20/10,,Colombia,Caldas,1256,Landslide,Downpour,2.0
2739,11/20/10,,Colombia,Norte de Santander,2702,Landslide,Downpour,0.0
2740,11/20/10,,Colombia,Santander,3032,Landslide,Downpour,0.0
2741,11/20/10,,Colombia,Antioquia,4987,Landslide,Downpour,0.0
2742,11/21/10,,Costa Rica,Heredia,1355,Landslide,Downpour,0.0
2749,11/25/10,,Venezuela,Miranda,278890,Mudslide,Downpour,1.0
2753,11/26/10,Before dawn,Venezuela,Distrito Federal,3000000,Mudslide,Downpour,3.0
2755,11/27/10,,Trinidad and Tobago,Diego Martin,8140,Landslide,Downpour,0.0
2756,11/27/10,,Trinidad and Tobago,Diego Martin,8140,Landslide,Downpour,0.0
2757,11/27/10,,Trinidad and Tobago,Diego Martin,8140,Landslide,Downpour,0.0
2758,11/27/10,,Trinidad and Tobago,Diego Martin,8140,Landslide,Downpour,0.0
2759,11/27/10,,Trinidad and Tobago,Diego Martin,8140,Landslide,Downpour,0.0
2760,11/27/10,,Trinidad and Tobago,Diego Martin,8140,Landslide,Downpour,0.0
2761,11/27/10,,Venezuela,Distrito Federal,0,Mudslide,Downpour,1.0
2762,11/27/10,Night,Venezuela,Distrito Federal,0,Landslide,Downpour,0.0
2763,11/27/10,Night,Venezuela,Distrito Federal,0,Landslide,Downpour,2.0
2764,11/27/10,Night,Venezuela,Distrito Federal,3000000,Landslide,Downpour,0.0
2765,11/27/10,Night,Venezuela,Miranda,244216,Landslide,Downpour,0.0
2766,11/27/10,Night,Venezuela,Miranda,57591,Landslide,Downpour,0.0
2769,11/29/10,Night,Venezuela,Distrito Federal,3000000,Landslide,Downpour,1.0
2770,11/29/10,Night,Venezuela,Distrito Federal,3000000,Landslide,Downpour,2.0
2771,11/29/10,,Venezuela,Miranda,191903,Mudslide,Downpour,0.0
2772,11/29/10,,Venezuela,Distrito Federal,3000000,Landslide,Downpour,0.0
2773,11/29/10,,Venezuela,Distrito Federal,3000000,Landslide,Downpour,0.0
2774,11/30/10,,Venezuela,Distrito Federal,3000000,Landslide,Downpour,1.0
2775,11/30/10,,United States,New York,4946,Mudslide,Downpour,0.0
2776,12/1/10,4:00:00,United States,Tennessee,178874,Rockfall,Downpour,0.0
2777,12/1/10,Morning,United States,North Carolina,3114,Landslide,Downpour,0.0
2784,12/5/10,14:30:00,Colombia,Antioquia,392939,Landslide,Downpour,91.0
2786,12/7/10,,Trinidad and Tobago,Princes Town,10000,Landslide,Downpour,0.0
2787,12/7/10,3:00:00,Trinidad and Tobago,Sangre Grande,15968,Landslide,Downpour,0.0
2788,12/7/10,Afternoon,Trinidad and Tobago,Sangre Grande,15968,Landslide,Downpour,0.0
2794,12/8/10,,Panama,Colón,1310,Landslide,Downpour,0.0
2795,12/9/10,Morning,Panama,Colón,1274,Mudslide,Downpour,8.0
2868,12/19/10,,United States,California,4862,Mudslide,Downpour,0.0
2873,12/20/10,,United States,Nevada,24085,Mudslide,Downpour,0.0
2874,12/21/10,,United States,California,59518,Rockfall,Downpour,0.0
2876,12/21/10,14:10:00,United States,California,10644,Mudslide,Downpour,0.0
2880,12/22/10,,United States,California,59518,Landslide,Downpour,0.0
2881,12/22/10,,United States,California,53104,Complex,Downpour,0.0
2884,12/22/10,9:00:00,United States,California,44199,Landslide,Downpour,0.0
2885,12/22/10,,United States,California,4862,Landslide,Downpour,0.0
2887,12/22/10,Morning,United States,California,53104,Mudslide,Downpour,0.0
2890,12/22/10,,United States,California,4862,Rockfall,Downpour,0.0
2893,12/22/10,2:30:00,United States,California,105328,Mudslide,Downpour,0.0
2895,12/22/10,Early morning,United States,California,23261,Mudslide,Downpour,0.0
2896,12/22/10,3:00:00,United States,California,42808,Mudslide,Downpour,0.0
2897,12/22/10,7:30:00,United States,California,42808,Mudslide,Downpour,0.0
2898,12/22/10,Morning,United States,California,23261,Mudslide,Downpour,0.0
2899,12/23/10,Evening,Colombia,Nariño,6522,Landslide,Downpour,13.0
2907,12/28/10,9:30:00,United States,California,57065,Mudslide,Downpour,0.0
2910,12/28/10,14:00:00,United States,California,193365,Landslide,Downpour,0.0
2930,1/2/11,,United States,Ohio,3454,Mudslide,Freeze thaw,0.0
2948,1/9/11,,Peru,Ancash,0,Mudslide,Downpour,0.0
2962,1/11/11,23:30:00,Costa Rica,Limón,19092,Landslide,Downpour,0.0
3015,1/16/11,,United States,Idaho,485,Mudslide,Downpour,0.0
3018,1/16/11,,United States,Idaho,145987,Mudslide,Downpour,0.0
3021,1/16/11,,United States,Idaho,145987,Mudslide,Downpour,0.0
3043,1/18/11,15:00:00,United States,Idaho,485,Complex,Freeze thaw,0.0
3076,1/30/11,Morning,United States,West Virginia,1554,Mudslide,Downpour,0.0
3090,2/5/11,,United States,North Carolina,1150,Mudslide,Rain,0.0
3119,2/14/11,,Ecuador,Pichincha,25742,Mudslide,Downpour,0.0
3120,2/14/11,,Ecuador,Cotopaxi,3778,Mudslide,Downpour,2.0
3130,2/16/11,,Jamaica,Saint Mary,2046,Landslide,Downpour,0.0
3131,2/16/11,,Jamaica,Portland,2757,Landslide,Downpour,0.0
3135,2/18/11,,United States,California,1423,Complex,Downpour,0.0
3167,3/2/11,Night,Panama,Los Santos,1283,Landslide,Downpour,0.0
3168,3/2/11,Night,Panama,Bocas del Toro,8114,Landslide,Downpour,0.0
3169,3/2/11,,United States,Pennsylvania,1873,Mudslide,Rain,0.0
3170,3/3/11,Afternoon,Colombia,Santander,1669,Mudslide,Downpour,3.0
3175,3/6/11,,United States,North Carolina,1241,Mudslide,Downpour,0.0
3176,3/6/11,,United States,Connecticut,9549,Mudslide,Downpour,0.0
3177,3/7/11,2:00:00,United States,Connecticut,28142,Mudslide,Downpour,0.0
3178,3/7/11,5:00:00,United States,Massachusetts,19753,Mudslide,Rain,0.0
3180,3/7/11,,Venezuela,Vargas,52564,Mudslide,Downpour,0.0
3181,3/8/11,Early morning,United States,Pennsylvania,1244,Landslide,Downpour,0.0
3182,3/8/11,5:00:00,United States,Missouri,35517,Mudslide,Downpour,0.0
3183,3/8/11,Night,United States,Kentucky,4456,Mudslide,Downpour,0.0
3187,3/9/11,12:00:00,United States,New York,2701,Rockfall,Downpour,0.0
3188,3/9/11,Night,United States,West Virginia,1036,Landslide,Downpour,0.0
3189,3/9/11,Night,United States,West Virginia,1036,Landslide,Downpour,0.0
3190,3/10/11,Night,United States,Pennsylvania,1836,Mudslide,Downpour,0.0
3195,3/10/11,,United States,Virginia,207627,Mudslide,Downpour,0.0
3198,3/10/11,,United States,Virginia,2681,Landslide,Downpour,0.0
3200,3/11/11,Early morning,United States,Ohio,4278,Landslide,Downpour,0.0
3201,3/11/11,Early morning,United States,Ohio,1482,Landslide,Downpour,0.0
3202,3/11/11,1:00:00,United States,Pennsylvania,1836,Mudslide,Downpour,0.0
3204,3/12/11,18:00:00,United States,Ohio,3541,Mudslide,Downpour,0.0
3210,3/13/11,23:00:00,United States,Ohio,1482,Landslide,Downpour,0.0
3227,3/15/11,,United States,Alabama,12548,Landslide,Downpour,0.0
3231,3/15/11,Night,United States,Pennsylvania,1171,Landslide,Downpour,0.0
3243,3/16/11,,United States,Ohio,1592,Landslide,Downpour,0.0
3244,3/16/11,19:00:00,United States,Ohio,3541,Mudslide,Downpour,0.0
3248,3/18/11,Night,United States,New York,1009,Mudslide,Rain,0.0
3255,3/20/11,Afternoon,Colombia,Caldas,35302,Landslide,Downpour,0.0
3262,3/21/11,Morning,United States,Utah,7775,Mudslide,Downpour,0.0
3300,3/26/11,,Colombia,Norte de Santander,721398,Mudslide,Downpour,0.0
3303,3/26/11,Morning,United States,California,9277,Landslide,Downpour,0.0
3311,3/28/11,,Colombia,Caldas,357814,Landslide,Rain,0.0
3339,4/5/11,3:00:00,United States,Tennessee,14807,Mudslide,Rain,0.0
3340,4/5/11,,United States,West Virginia,2499,Mudslide,Downpour,0.0
3343,4/6/11,,United States,Pennsylvania,5677,Landslide,Rain,0.0
3345,4/8/11,,United States,Ohio,20213,Landslide,Rain,0.0
3346,4/9/11,,United States,West Virginia,1554,Landslide,Downpour,0.0
3347,4/10/11,Early morning,Colombia,Antioquia,1999979,Landslide,Downpour,4.0
3351,4/10/11,,United States,Pennsylvania,3744,Landslide,Downpour,0.0
3352,4/11/11,Early morning,Colombia,Nariño,7279,Landslide,Downpour,0.0
3353,4/11/11,,Colombia,Nariño,7279,Mudslide,Downpour,5.0
3355,4/12/11,3:00:00,Grenada,Saint Mark,2256,Landslide,Downpour,0.0
3356,4/12/11,Morning,Grenada,Saint John,3378,Landslide,Downpour,0.0
3357,4/12/11,,Saint Vincent and the Grenadines,Charlotte,1680,Landslide,Downpour,0.0
3358,4/12/11,Morning,United States,Kentucky,5955,Landslide,Downpour,0.0
3359,4/13/11,,Colombia,Caldas,357814,Landslide,Downpour,0.0
3360,4/13/11,Evening,Colombia,Caldas,35302,Landslide,Downpour,20.0
3361,4/13/11,Morning,United States,Pennsylvania,305704,Complex,Continuous rain,0.0
3362,4/13/11,Night,Colombia,Antioquia,10191,Landslide,Downpour,4.0
3363,4/14/11,12:30:00,United States,Pennsylvania,1929,Mudslide,Downpour,0.0
3364,4/14/11,2:00:00,United States,Pennsylvania,1171,Landslide,Downpour,0.0
3365,4/15/11,,Colombia,Santander,1227,Mudslide,Downpour,11.0
3367,4/16/11,,Colombia,Cundinamarca,1577,Landslide,Downpour,0.0
3368,4/16/11,,United States,New Jersey,50005,Mudslide,Downpour,0.0
3369,4/16/11,Afternoon,United States,Ohio,1372,Mudslide,Downpour,0.0
3370,4/16/11,Evening,United States,West Virginia,823,Mudslide,Downpour,0.0
3371,4/16/11,Afternoon,United States,Ohio,1482,Mudslide,Downpour,0.0
3372,4/16/11,21:30:00,United States,Pennsylvania,9299,Mudslide,Downpour,0.0
3379,4/17/11,10:00:00,United States,Maryland,6170,Mudslide,Downpour,0.0
3386,4/21/11,,United States,Kentucky,24757,Landslide,Downpour,0.0
3387,4/21/11,,United States,Kentucky,5912,Landslide,Downpour,0.0
3388,4/21/11,,United States,Kentucky,3925,Landslide,Downpour,0.0
3389,4/21/11,18:00:00,United States,Kentucky,7489,Mudslide,Downpour,0.0
3390,4/21/11,,United States,Ohio,5259,Landslide,Downpour,0.0
3391,4/21/11,,United States,Kentucky,3035,Landslide,Downpour,0.0
3392,4/21/11,,United States,Kentucky,8477,Landslide,Downpour,0.0
3393,4/22/11,,Colombia,Antioquia,49169,Landslide,Downpour,2.0
3398,4/23/11,Night,Colombia,Antioquia,8603,Landslide,Rain,0.0
3403,4/24/11,,Ecuador,Morona-Santiago,23687,Landslide,Downpour,7.0
3404,4/24/11,,United States,West Virginia,4028,Mudslide,Downpour,0.0
3405,4/24/11,,United States,Ohio,3149,Mudslide,Downpour,0.0
3406,4/24/11,,United States,Ohio,4582,Mudslide,Downpour,0.0
3408,4/25/11,,United States,Missouri,4426,Mudslide,Downpour,0.0
3409,4/25/11,,United States,Ohio,3234,Landslide,Downpour,0.0
3410,4/25/11,,United States,Kentucky,4407,Landslide,Downpour,0.0
3411,4/25/11,,United States,Kentucky,5955,Landslide,Downpour,0.0
3412,4/25/11,,United States,Kentucky,2554,Landslide,Downpour,0.0
3413,4/25/11,20:00:00,United States,Ohio,296943,Landslide,Downpour,0.0
3414,4/25/11,,United States,Kentucky,15273,Landslide,Downpour,0.0
3415,4/25/11,,United States,Ohio,296943,Mudslide,Downpour,0.0
3416,4/25/11,,United States,Ohio,1239,Landslide,Downpour,0.0
3417,4/25/11,Night,United States,Arkansas,1084,Landslide,Downpour,0.0
3418,4/25/11,,United States,Ohio,2782,Landslide,Downpour,0.0
3419,4/25/11,6:00:00,United States,West Virginia,1302,Mudslide,Downpour,0.0
3427,4/26/11,,United States,Ohio,4801,Landslide,Downpour,0.0
3428,4/26/11,,United States,Tennessee,5417,Landslide,Downpour,0.0
3434,4/27/11,Early morning,United States,Tennessee,14538,Landslide,Downpour,0.0
3435,4/27/11,,United States,Kentucky,4407,Mudslide,Downpour,0.0
3436,4/27/11,Early morning,United States,Tennessee,1750,Landslide,Downpour,0.0
3438,4/28/11,,United States,Kentucky,2764,Landslide,Downpour,0.0
3440,4/29/11,Morning,United States,Kentucky,1745,Mudslide,Continuous rain,0.0
3441,4/30/11,,United States,Missouri,2184,Landslide,Downpour,0.0
3443,5/1/11,,United States,Kentucky,2237,Landslide,Downpour,0.0
3445,5/3/11,Morning,United States,Ohio,5099,Mudslide,Downpour,0.0
3446,5/3/11,Morning,United States,Ohio,14407,Mudslide,Downpour,0.0
3448,5/3/11,Morning,United States,Ohio,11585,Mudslide,Downpour,0.0
3449,5/3/11,Morning,United States,Ohio,5069,Mudslide,Downpour,0.0
3450,5/3/11,Morning,United States,Kentucky,4407,Mudslide,Downpour,0.0
3452,5/3/11,Night,Colombia,Boyacá,3689,Complex,Downpour,2.0
3454,5/3/11,,United States,Kentucky,1190,Mudslide,Downpour,0.0
3455,5/3/11,Early morning,United States,Kentucky,25527,Mudslide,Downpour,0.0
3456,5/3/11,Morning,United States,Kentucky,25527,Mudslide,Downpour,0.0
3457,5/3/11,Early morning,United States,Kentucky,25527,Mudslide,Downpour,0.0
3458,5/3/11,Morning,United States,Kentucky,9011,Mudslide,Downpour,0.0
3459,5/3/11,5:00:00,United States,Ohio,1638,Landslide,Downpour,0.0
3460,5/2/11,12:15,Ecuador,Pichincha,1399814,Mudslide,Unknown,5.0
3463,5/4/11,Morning,United States,Vermont,2386,Mudslide,Downpour,0.0
3464,5/4/11,2:00:00,United States,Vermont,2386,Mudslide,Downpour,0.0
3466,5/5/11,,United States,Vermont,9052,Mudslide,Downpour,0.0
3471,5/8/11,,Colombia,Boyacá,5411,Landslide,Downpour,0.0
3472,5/8/11,Night,Costa Rica,Heredia,1355,Landslide,Rain,0.0
3478,5/8/11,1:52:00,United States,Idaho,1928,Mudslide,Downpour,0.0
3482,5/10/11,Afternoon,United States,West Virginia,51400,Mudslide,Downpour,0.0
3486,5/11/11,,United States,Ohio,2676,Landslide,Downpour,0.0
3487,5/11/11,,United States,Ohio,11129,Landslide,Downpour,0.0
3488,5/11/11,,United States,Ohio,2165,Landslide,Downpour,0.0
3489,5/11/11,,United States,Ohio,11129,Landslide,Downpour,0.0
3490,5/12/11,Late afternoon,United States,Ohio,1543,Mudslide,Downpour,0.0
3493,5/13/11,Afternoon,United States,Pennsylvania,3450,Mudslide,Downpour,0.0
3494,5/13/11,Afternoon,United States,Pennsylvania,13663,Mudslide,Downpour,0.0
3495,5/13/11,,United States,Pennsylvania,7635,Landslide,Continuous rain,0.0
3498,5/15/11,Late night,United States,New York,2614,Mudslide,Downpour,0.0
3499,5/16/11,9:50:00,Colombia,Valle del Cauca,2392877,Landslide,Downpour,0.0
3500,5/16/11,5:45:00,Colombia,Santander,8949,Landslide,Downpour,2.0
3501,5/17/11,Evening,Colombia,Santander,86387,Landslide,Downpour,0.0
3502,5/17/11,,United States,Pennsylvania,1064,Landslide,Downpour,0.0
3503,5/18/11,3:30:00,Colombia,Santander,11265,Complex,Downpour,1.0
3504,5/18/11,,United States,West Virginia,49138,Landslide,Downpour,0.0
3505,5/18/11,3:00:00,United States,West Virginia,49138,Landslide,Downpour,0.0
