MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
20,RL,65.0,9757,Pave,Reg,Low,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,TA,TA,No,ALQ,755.0,Unf,0.0,235.0,990.0,GasA,Ex,Y,SBrkr,990,0,0,990,1.0,0.0,1,0,3,1,TA,5,Typ,0,None,Attchd,1995.0,RFn,1.0,440.0,TA,TA,Y,66,0,0,0,92,0,0,10,2009,WD ,Normal,143000
60,RL,65.0,15426,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,821.0,Unf,0.0,107.0,928.0,GasA,Ex,Y,SBrkr,928,836,0,1764,1.0,0.0,2,1,3,1,Gd,7,Typ,0,None,Attchd,1997.0,RFn,2.0,470.0,TA,TA,Y,276,99,0,0,0,0,0,8,2009,WD ,Normal,231500
60,RL,43.0,10667,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,PosN,Norm,1Fam,2Story,7,6,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,385.0,ALQ,344.0,70.0,799.0,GasA,Ex,Y,SBrkr,827,834,0,1661,1.0,0.0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,1996.0,RFn,2.0,550.0,TA,TA,Y,158,61,0,0,0,0,0,4,2009,ConLw,Normal,212000
20,RL,65.0,14753,Pave,IR2,Low,AllPub,Inside,Gtl,CollgCr,PosN,Norm,1Fam,1Story,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,950.0,Unf,0.0,513.0,1463.0,GasA,Ex,Y,SBrkr,1463,0,0,1463,1.0,0.0,2,0,3,1,TA,5,Typ,0,None,Attchd,1998.0,Fin,2.0,539.0,TA,TA,Y,0,81,0,0,0,0,0,12,2009,WD ,Normal,207000
20,RL,112.0,10859,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1097.0,1097.0,GasA,Ex,Y,SBrkr,1097,0,0,1097,0.0,0.0,1,1,3,1,TA,6,Typ,0,None,Attchd,1995.0,Unf,2.0,672.0,TA,TA,Y,392,64,0,0,0,0,0,6,2009,WD ,Normal,145000
20,RL,60.0,8072,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Gd,No,ALQ,746.0,Unf,0.0,244.0,990.0,GasA,Ex,Y,SBrkr,990,0,0,990,1.0,0.0,1,0,3,1,TA,5,Typ,0,None,Detchd,2000.0,Unf,2.0,480.0,TA,TA,Y,0,64,0,0,0,0,0,5,2009,WD ,Normal,138000
60,RL,80.0,10400,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,866.0,866.0,GasA,Ex,Y,SBrkr,866,913,0,1779,0.0,0.0,2,1,3,1,Gd,6,Typ,0,None,Attchd,1998.0,RFn,2.0,546.0,TA,TA,Y,198,36,0,0,0,0,0,3,2009,WD ,Normal,197900
20,RL,78.0,10335,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,183.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,679.0,Unf,0.0,811.0,1490.0,GasA,Ex,Y,SBrkr,1501,0,0,1501,1.0,0.0,2,0,3,1,Gd,6,Typ,0,None,Attchd,1999.0,RFn,2.0,577.0,TA,TA,Y,144,29,0,0,0,0,0,6,2009,WD ,Normal,204000
20,RL,68.0,9017,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,560.0,Unf,0.0,871.0,1431.0,GasA,Ex,Y,SBrkr,1431,0,0,1431,1.0,0.0,2,0,3,1,Gd,6,Typ,0,None,Attchd,1999.0,Fin,2.0,666.0,TA,TA,Y,0,35,0,0,0,0,0,9,2009,WD ,Normal,192000
60,RL,70.0,8750,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,120.0,TA,TA,PConc,Gd,TA,No,GLQ,606.0,Unf,0.0,322.0,928.0,GasA,Ex,Y,SBrkr,928,844,0,1772,1.0,0.0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1998.0,RFn,2.0,492.0,TA,TA,Y,150,96,0,0,0,0,0,4,2009,WD ,Normal,200000
60,RL,68.0,8935,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,95.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,831.0,831.0,GasA,Ex,Y,SBrkr,831,829,0,1660,0.0,0.0,2,1,3,1,Gd,7,Typ,0,None,Attchd,2002.0,RFn,2.0,493.0,TA,TA,Y,144,68,0,0,0,0,0,7,2009,WD ,Normal,195000
20,RL,67.0,9808,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,110.0,Gd,TA,PConc,Gd,TA,No,GLQ,788.0,Unf,0.0,785.0,1573.0,GasA,Ex,Y,SBrkr,1573,0,0,1573,1.0,0.0,2,0,3,1,Gd,6,Typ,0,None,Attchd,2002.0,RFn,2.0,544.0,TA,TA,Y,0,72,0,0,0,0,0,3,2009,WD ,Normal,227000
60,RL,79.0,12420,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,666.0,Unf,0.0,278.0,944.0,GasA,Ex,Y,SBrkr,944,896,0,1840,1.0,0.0,2,1,3,1,Gd,6,Typ,0,None,Attchd,2001.0,RFn,2.0,622.0,TA,TA,Y,0,45,0,0,0,0,0,6,2009,WD ,Normal,230000
20,RL,67.0,16285,Pave,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1413.0,1413.0,GasA,Ex,Y,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,Gd,6,Typ,0,None,Attchd,2001.0,RFn,2.0,605.0,TA,TA,Y,0,33,0,0,0,0,0,6,2009,WD ,Normal,187100
20,RL,65.0,10739,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,68.0,Gd,TA,PConc,Gd,TA,No,GLQ,1259.0,Unf,0.0,172.0,1431.0,GasA,Ex,Y,SBrkr,1444,0,0,1444,1.0,0.0,2,0,3,1,Gd,6,Typ,0,None,Attchd,2002.0,RFn,2.0,577.0,TA,TA,Y,144,40,0,0,0,0,0,4,2009,WD ,Normal,203000
20,RL,75.0,11166,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,180.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,1468.0,1492.0,GasA,Ex,Y,SBrkr,1492,0,0,1492,0.0,0.0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2.0,608.0,TA,TA,Y,0,114,0,0,168,0,0,7,2009,WD ,Family,201000
20,RL,60.0,8430,Pave,Reg,HLS,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,5,1978,1978,Gable,CompShg,HdBoard,HdBoard,BrkFace,136.0,TA,TA,CBlock,Gd,TA,No,Rec,616.0,Unf,0.0,424.0,1040.0,GasA,TA,Y,SBrkr,1040,0,0,1040,0.0,0.0,2,0,3,1,TA,5,Typ,0,None,None,0.0,None,0.0,0.0,None,None,Y,0,0,0,0,0,0,0,8,2009,WD ,Normal,124000
20,RL,71.33636363636364,16269,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1978,1978,Gable,CompShg,MetalSd,MetalSd,BrkFace,76.0,TA,TA,BrkTil,Gd,TA,Av,GLQ,625.0,Unf,0.0,282.0,907.0,GasA,TA,Y,SBrkr,907,0,0,907,0.0,0.0,1,0,3,1,TA,5,Typ,0,None,Attchd,1978.0,Unf,1.0,343.0,TA,TA,Y,72,0,0,0,0,0,0,7,2009,WD ,Normal,140000
20,RL,76.0,6950,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1979,1979,Gable,CompShg,HdBoard,HdBoard,BrkFace,40.0,TA,TA,CBlock,TA,TA,No,ALQ,710.0,BLQ,72.0,132.0,914.0,GasA,TA,Y,SBrkr,914,0,0,914,1.0,0.0,1,0,2,1,TA,5,Typ,0,None,Attchd,1979.0,Unf,2.0,444.0,TA,TA,Y,0,0,0,0,0,0,0,10,2009,WD ,Normal,134900
20,RL,61.0,8800,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1977,2008,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Mn,LwQ,532.0,Rec,144.0,364.0,1040.0,GasA,TA,Y,SBrkr,1040,0,0,1040,0.0,0.0,2,0,3,1,Gd,5,Typ,0,None,Detchd,1977.0,Unf,2.0,484.0,TA,TA,Y,0,0,0,0,288,0,0,9,2009,WD ,Normal,150500
20,RL,71.33636363636364,7000,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,8,1978,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,90.0,Gd,Gd,CBlock,TA,TA,No,ALQ,646.0,Unf,0.0,218.0,864.0,GasA,Ex,Y,SBrkr,864,0,0,864,1.0,0.0,1,0,3,1,TA,6,Typ,0,None,Attchd,1978.0,Unf,1.0,336.0,TA,TA,Y,0,0,0,0,0,0,0,7,2009,WD ,Normal,136500
20,RL,71.33636363636364,9286,Pave,IR1,Lvl,AllPub,CulDSac,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,7,1977,1989,Gable,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,Gd,Gd,Av,ALQ,196.0,Unf,0.0,1072.0,1268.0,GasA,TA,Y,SBrkr,1268,0,0,1268,0.0,0.0,1,1,3,1,Gd,5,Typ,0,None,Detchd,1978.0,Unf,1.0,252.0,TA,TA,Y,173,0,0,0,0,0,0,10,2009,WD ,Normal,143500
20,RL,36.0,15523,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1972,1972,Gable,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,460.0,Unf,0.0,404.0,864.0,GasA,Ex,Y,SBrkr,864,0,0,864,1.0,0.0,1,0,3,1,TA,5,Typ,1,Fa,Attchd,1972.0,Unf,1.0,338.0,TA,TA,Y,0,0,0,0,0,0,0,8,2009,WD ,Normal,133500
20,RL,60.0,7200,Pave,Reg,Low,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1972,1972,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Av,Rec,777.0,Unf,0.0,117.0,894.0,GasA,TA,Y,SBrkr,894,0,0,894,0.0,0.0,1,0,2,1,TA,6,Typ,0,None,Detchd,1985.0,RFn,2.0,600.0,TA,TA,Y,215,0,0,0,0,0,0,9,2009,WD ,Normal,123000
85,RL,60.0,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,8,1972,2003,Gable,CompShg,WdShing,HdBoard,None,0.0,TA,Gd,CBlock,Gd,TA,Av,GLQ,660.0,Unf,0.0,108.0,768.0,GasA,Gd,Y,SBrkr,768,0,0,768,0.0,1.0,1,0,2,1,TA,5,Typ,0,None,Detchd,1974.0,Fin,1.0,396.0,TA,TA,Y,192,0,0,0,0,0,0,4,2009,WD ,Normal,133900
85,RL,70.0,8445,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,7,1972,2007,Gable,CompShg,HdBoard,Wd Shng,None,0.0,TA,TA,CBlock,Gd,TA,Av,GLQ,656.0,Unf,0.0,112.0,768.0,GasA,TA,Y,SBrkr,768,0,0,768,1.0,0.0,1,0,2,1,TA,5,Typ,0,None,Detchd,1988.0,Unf,2.0,396.0,TA,TA,Y,58,0,0,0,0,0,0,3,2009,WD ,Normal,133000
20,RL,90.0,11664,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1234.0,Unf,0.0,335.0,1569.0,GasA,Ex,Y,SBrkr,1611,0,0,1611,1.0,0.0,2,0,3,1,Gd,6,Typ,0,None,Attchd,2002.0,RFn,3.0,1231.0,TA,TA,Y,262,93,0,0,0,0,0,9,2009,WD ,Normal,250000
60,RL,71.33636363636364,12334,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,198.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1068.0,1068.0,GasA,Ex,Y,SBrkr,1068,1116,0,2184,0.0,0.0,2,1,4,1,Gd,8,Typ,1,Gd,BuiltIn,2003.0,RFn,2.0,570.0,TA,TA,Y,192,132,0,0,0,0,0,6,2009,WD ,Normal,254750
20,RL,71.33636363636364,11838,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2001,2001,Hip,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1753.0,1753.0,GasA,Ex,Y,SBrkr,1788,0,0,1788,0.0,0.0,2,0,3,1,Ex,7,Typ,1,TA,Attchd,2001.0,RFn,2.0,522.0,TA,TA,Y,202,151,0,0,0,0,0,6,2009,WD ,Normal,236500
60,RL,71.33636363636364,11885,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,108.0,Gd,TA,PConc,Gd,TA,Av,GLQ,990.0,Unf,0.0,309.0,1299.0,GasA,Ex,Y,SBrkr,1299,573,0,1872,1.0,0.0,2,1,3,1,Ex,7,Typ,1,TA,BuiltIn,2001.0,RFn,2.0,531.0,TA,TA,Y,160,122,0,0,0,0,0,11,2009,WD ,Normal,261500
60,RL,71.33636363636364,11050,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,PosN,Norm,1Fam,2Story,9,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,204.0,Gd,TA,PConc,Ex,TA,Mn,GLQ,904.0,Unf,0.0,536.0,1440.0,GasA,Ex,Y,SBrkr,1476,677,0,2153,1.0,0.0,2,1,3,1,Ex,8,Typ,2,Ex,Attchd,2000.0,Fin,3.0,736.0,TA,TA,Y,253,142,0,0,0,0,0,5,2009,WD ,Normal,313000
60,RL,70.0,8749,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,840.0,840.0,GasA,Ex,Y,SBrkr,840,885,0,1725,0.0,0.0,2,1,3,1,Gd,6,Typ,0,None,Attchd,2002.0,RFn,2.0,550.0,TA,TA,Y,0,48,0,0,0,0,0,11,2009,WD ,Normal,198500
60,RL,71.33636363636364,11250,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,944.0,944.0,GasA,Ex,Y,SBrkr,944,926,0,1870,0.0,0.0,2,1,3,1,Gd,6,Typ,0,None,Attchd,2001.0,RFn,2.0,608.0,TA,TA,Y,256,43,0,0,0,0,0,5,2009,WD ,Normal,211000
20,RL,90.0,15750,Pave,Reg,Lvl,AllPub,FR3,Gtl,CollgCr,Feedr,Norm,1Fam,1Story,8,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,260.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1246.0,Unf,0.0,216.0,1462.0,GasA,Ex,Y,SBrkr,1513,0,0,1513,1.0,0.0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1999.0,Fin,2.0,521.0,TA,TA,Y,135,34,0,0,0,0,0,6,2009,WD ,Normal,220000
20,RL,73.0,11883,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1996,1996,Hip,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,690.0,Unf,0.0,814.0,1504.0,GasA,Ex,Y,SBrkr,1504,0,0,1504,1.0,0.0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,1996.0,Fin,2.0,478.0,TA,TA,Y,115,66,0,0,0,0,0,6,2009,WD ,Normal,203000
20,RL,71.33636363636364,12782,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2003,Hip,CompShg,HdBoard,HdBoard,BrkFace,164.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1360.0,Unf,0.0,462.0,1822.0,GasA,Ex,Y,SBrkr,1828,0,0,1828,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,Fin,2.0,523.0,TA,TA,Y,194,144,0,0,0,0,0,6,2009,WD ,Normal,279500
20,RL,70.0,8750,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,209.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1111.0,Unf,0.0,306.0,1417.0,GasA,Ex,Y,SBrkr,1417,0,0,1417,1.0,0.0,2,0,3,1,Gd,7,Typ,1,TA,Attchd,1997.0,Unf,2.0,511.0,TA,TA,Y,60,0,0,0,117,0,0,8,2009,WD ,Normal,210000
60,RL,71.33636363636364,9375,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,573.0,TA,TA,PConc,Gd,TA,No,GLQ,739.0,Unf,0.0,318.0,1057.0,GasA,Ex,Y,SBrkr,1057,977,0,2034,1.0,0.0,2,1,3,1,Gd,8,Typ,0,None,Attchd,1998.0,RFn,2.0,645.0,TA,TA,Y,576,36,0,0,0,0,0,2,2009,WD ,Normal,219500
60,RL,70.0,8750,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,880.0,880.0,GasA,Ex,Y,SBrkr,909,807,0,1716,0.0,0.0,2,1,2,1,Gd,7,Typ,1,TA,Attchd,1996.0,RFn,2.0,512.0,TA,TA,Y,0,120,0,0,0,0,0,7,2009,WD ,Normal,191000
20,RL,70.0,9100,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1212.0,1212.0,GasA,Ex,Y,SBrkr,1212,0,0,1212,0.0,0.0,2,0,3,1,Gd,6,Typ,0,None,Attchd,2001.0,RFn,2.0,573.0,TA,TA,Y,356,0,0,0,0,0,0,6,2009,WD ,Normal,178000
20,RL,75.0,9750,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2000,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,171.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1630.0,1630.0,GasA,Ex,Y,SBrkr,1630,0,0,1630,0.0,0.0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,2000.0,Unf,2.0,451.0,TA,TA,Y,74,234,0,0,0,0,0,10,2009,WD ,Normal,213000
120,RM,71.33636363636364,4435,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,Gd,TA,PConc,Gd,TA,Av,GLQ,685.0,Unf,0.0,163.0,848.0,GasA,Ex,Y,SBrkr,848,0,0,848,1.0,0.0,1,0,1,1,Gd,4,Typ,0,None,Attchd,2003.0,Fin,2.0,420.0,TA,TA,Y,140,0,0,0,0,0,0,6,2009,WD ,Normal,144000
120,RM,71.33636363636364,4435,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,Gd,TA,PConc,Gd,TA,Av,GLQ,685.0,Unf,0.0,163.0,848.0,GasA,Ex,Y,SBrkr,848,0,0,848,1.0,0.0,1,0,1,1,Gd,4,Typ,0,None,Attchd,2003.0,Fin,2.0,420.0,TA,TA,Y,140,0,0,0,0,0,0,5,2009,WD ,Normal,140000
20,RL,85.0,10200,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,180.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1478.0,Unf,0.0,100.0,1578.0,GasA,Ex,Y,SBrkr,1602,0,0,1602,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3.0,810.0,TA,TA,Y,0,48,0,0,195,0,0,1,2009,WD ,Normal,293200
60,RL,65.0,9313,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,864.0,864.0,GasA,Ex,Y,SBrkr,864,864,0,1728,0.0,0.0,2,1,3,1,Gd,7,Typ,0,None,Attchd,2004.0,RFn,2.0,572.0,TA,TA,Y,187,56,0,0,0,0,0,4,2009,WD ,Normal,190000
20,RL,63.0,8487,Pave,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,210.0,Gd,TA,PConc,Gd,TA,Av,GLQ,20.0,Unf,0.0,1480.0,1500.0,GasA,Ex,Y,SBrkr,1500,0,0,1500,0.0,0.0,2,0,3,1,Gd,6,Typ,0,None,Attchd,2004.0,RFn,2.0,570.0,TA,TA,Y,192,36,0,0,0,0,0,8,2009,WD ,Normal,190000
60,RL,64.0,8633,Pave,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,193.0,Unf,0.0,545.0,738.0,GasA,Ex,Y,SBrkr,738,738,0,1476,1.0,0.0,2,1,3,1,Gd,7,Typ,0,None,Attchd,2005.0,Fin,2.0,540.0,TA,TA,Y,100,35,0,0,0,0,0,2,2009,WD ,Normal,173500
60,RL,85.0,11069,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,608.0,608.0,GasA,Ex,Y,SBrkr,608,788,0,1396,0.0,0.0,2,1,3,1,Gd,6,Typ,1,Gd,BuiltIn,2007.0,Fin,2.0,440.0,TA,TA,Y,100,36,0,0,0,0,0,7,2009,WD ,Normal,170000
20,RL,67.0,8777,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Feedr,Norm,1Fam,1Story,4,5,1949,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,None,None,None,None,0.0,None,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,1126,0,0,1126,0.0,0.0,2,0,2,1,Gd,5,Typ,0,None,Detchd,2002.0,Fin,2.0,520.0,TA,TA,N,0,96,0,0,0,0,0,5,2009,WD ,Normal,108000
20,RL,75.0,9937,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,7,1964,1999,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,PConc,TA,TA,No,BLQ,637.0,Unf,0.0,849.0,1486.0,GasA,Ex,Y,SBrkr,1486,0,0,1486,1.0,0.0,1,0,3,1,TA,7,Typ,0,None,Detchd,1968.0,Fin,2.0,480.0,TA,TA,Y,0,0,0,0,0,0,0,3,2009,WD ,Normal,167000
