Name,Symbol,LastSale,MarketCapLabel,MarketCapAmount,IPOyear,Sector,industry,Summary Quote
"Eagle Bancorp Montana, Inc.",EBMT,11.05,$42.72M,42720000,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ebmt
"Eagle Bancorp, Inc.",EGBN,36.37,$946.85M,946850000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/egbn
Eagle Bulk Shipping Inc.,EGLE,9.97,$379.31M,379310000,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/egle
"Eagle Pharmaceuticals, Inc.",EGRX,33.68,$472.75M,472750000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/egrx
"Eagle Rock Energy Partners, L.P.",EROC,2.52,$403.51M,403510000,2006,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eroc
EarthLink Holdings Corp.,ELNK,4.6,$470.79M,470790000,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/elnk
"East West Bancorp, Inc.",EWBC,40.53,$5.82B,5820000000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ewbc
Eastern Company (The),EML,19.025,$118.4M,118400000,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/eml
"Eastern Virginia Bankshares, Inc.",EVBS,6.22,$74.09M,74090000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/evbs
eBay Inc.,EBAY,58.02,$70.21B,70210000000,1998,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ebay
"Ebix, Inc.",EBIX,28.13,$1.03B,1030000000,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ebix
Echelon Corporation,ELON,1.16,$50.99M,50990000,1998,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/elon
"Echo Global Logistics, Inc.",ECHO,27.76,$659.22M,659220000,2009,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/echo
"Echo Therapeutics, Inc.",ECTE,2.89,$36.51M,36510000,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/ecte
EchoStar Corporation,SATS,55.31,$2.43B,2430000000,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sats
"Ecology and Environment, Inc.",EEI,10.26,$44M,44000000,1987,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/eei
EDAP TMS S.A.,EDAP,3.52,$87.26M,87260000,1997,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/edap
"Edgewater Technology, Inc.",EDGW,7.23,$82.26M,82260000,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/edgw
Educational Development Corporation,EDUC,4.22,$16.97M,16970000,n/a,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/educ
eFuture Information Technology Inc.,EFUT,4.02,$16.04M,16040000,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/efut
eGain Corporation,EGAN,3.605,$96.2M,96200000,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/egan
Egalet Corporation,EGLT,14.5,$250.61M,250610000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eglt
"eHealth, Inc.",EHTH,10.47,$186.55M,186550000,2006,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/ehth
"El Pollo Loco Holdings, Inc.",LOCO,24.78,$915.59M,915590000,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/loco
Elbit Imaging Ltd.,EMITF,1.75,$2.41M,2410000,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/emitf
Elbit Systems Ltd.,ESLT,64.29,$2.74B,2740000000,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/eslt
"Eldorado Resorts, Inc.",ERI,4.5499,$211.33M,211330000,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/eri
Electro Rent Corporation,ELRC,13.03,$314.09M,314090000,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/elrc
"Electro Scientific Industries, Inc.",ESIO,6.55,$199.08M,199080000,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esio
Electronic Arts Inc.,EA,57.67,$17.88B,17880000000,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ea
"Electronics for Imaging, Inc.",EFII,40,$1.88B,1880000000,1992,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/efii
"Electro-Sensors, Inc.",ELSE,4.031,$13.69M,13690000,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/else
"Eleven Biotherapeutics, Inc.",EBIO,10.85,$176.74M,176740000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ebio
"Elizabeth Arden, Inc.",RDEN,16.75,$499.35M,499350000,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/rden
Elmira Savings Bank NY (The),ESBK,21.14,$52.91M,52910000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/esbk
"eLong, Inc.",LONG,16.71,$588.52M,588520000,2004,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/long
Eltek Ltd.,ELTK,1.21,$12.27M,12270000,1997,Technology,Electrical Products,http://www.nasdaq.com/symbol/eltk
EMC Insurance Group Inc.,EMCI,30,$406.39M,406390000,1982,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/emci
Emclaire Financial Corp,EMCF,25.16,$44.59M,44590000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/emcf
EMCORE Corporation,EMKR,5.5,$176.59M,176590000,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/emkr
Emmis Communications Corporation,EMMS,2.14,$93.24M,93240000,1994,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/emms
Emmis Communications Corporation,EMMSP,12.5,$16.64M,16640000,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/emmsp
"Empire Resorts, Inc.",NYNY,6.2,$244.94M,244940000,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/nyny
"Empire Resources, Inc.",ERS,4.4675,$40.1M,40100000,n/a,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/ers
"Enanta Pharmaceuticals, Inc.",ENTA,35.9,$670.63M,670630000,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/enta
Encore Capital Group Inc,ECPG,43.01,$1.11B,1110000000,n/a,Finance,Finance Companies,http://www.nasdaq.com/symbol/ecpg
Encore Wire Corporation,WIRE,34.19,$708.42M,708420000,1992,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/wire
Endo International plc,ENDP,86.32,$14.91B,14910000000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/endp
"Endocyte, Inc.",ECYT,5.69,$237.33M,237330000,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ecyt
"Endologix, Inc.",ELGX,14.82,$992.77M,992770000,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/elgx
"EndoStim, Inc.",STIM,n/a,n/a,0,n/a,n/a,n/a,http://www.nasdaq.com/symbol/stim
"Endurance International Group Holdings, Inc.",EIGI,19.89,$2.63B,2630000000,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/eigi
Energous Corporation,WATT,9.18,$117.33M,117330000,2014,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/watt
"Energy Focus, Inc.",EFOI,4.68,$44.09M,44090000,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/efoi
"Energy Recovery, Inc.",ERII,3.36,$174.31M,174310000,2008,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/erii
Energy XXI Ltd.,EXXI,4.26,$402.09M,402090000,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/exxi
"EnerNOC, Inc.",ENOC,17.86,$521.07M,521070000,2007,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/enoc
ENGlobal Corporation,ENG,1.84,$51.03M,51030000,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/eng
"Enphase Energy, Inc.",ENPH,13.3,$580.21M,580210000,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/enph
Enstar Group Limited,ESGR,136.88,$2.63B,2630000000,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/esgr
Entegra Financial Corp.,ENFC,15.8,$103.43M,103430000,2014,Finance,Banks,http://www.nasdaq.com/symbol/enfc
"Entegris, Inc.",ENTG,13.71,$1.91B,1910000000,2000,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/entg
"Entellus Medical, Inc.",ENTL,23.09,$431.29M,431290000,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/entl
EnteroMedics Inc.,ETRM,1.15,$79.47M,79470000,2007,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/etrm
Enterprise Bancorp Inc,EBTC,21.33,$216.82M,216820000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ebtc
Enterprise Financial Services Corporation,EFSC,20.27,$401.04M,401040000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/efsc
Entertainment Gaming Asia Incorporated,EGT,0.5203,$15.66M,15660000,n/a,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/egt
"Entropic Communications, Inc.",ENTR,2.95,$265.72M,265720000,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/entr
"Envivio, Inc.",ENVI,1.36,$37.69M,37690000,2012,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/envi
"Enzon Pharmaceuticals, Inc.",ENZN,1.1,$48.56M,48560000,1984,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/enzn
Enzymotec Ltd.,ENZY          ,7.06,$156.13M,156130000,2013,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/enzy          
"EPIQ Systems, Inc.",EPIQ,18.28,$665.53M,665530000,1997,Technology,EDP Services,http://www.nasdaq.com/symbol/epiq
"EPIRUS Biopharmaceuticals, Inc.",EPRS,8.64,$194.69M,194690000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eprs
"Epizyme, Inc.",EPZM,22.76,$777.56M,777560000,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/epzm
ePlus inc.,PLUS,80.59,$595.59M,595590000,1996,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/plus
"Equinix, Inc.",EQIX,235.38,$12.55B,12550000000,2000,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eqix
Erickson Incorporated,EAC           ,7.2,$99.45M,99450000,2012,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/eac           
Ericsson,ERIC,13.02,$42.17B,42170000000,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/eric
Erie Indemnity Company,ERIE,92.49,$4.27B,4270000000,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/erie
"Escalade, Incorporated",ESCA,15.52,$216.53M,216530000,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/esca
Escalera Resources Co.,ESCR,0.7298,$10.43M,10430000,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/escr
Escalera Resources Co.,ESCRP,14.91,n/a,0,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/escrp
Escalon Medical Corp.,ESMC,1.47,$11.06M,11060000,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/esmc
"Esperion Therapeutics, Inc.",ESPR,65.98,$1.34B,1340000000,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/espr
"ESSA Bancorp, Inc.",ESSA,12.15,$138.93M,138930000,n/a,Finance,Banks,http://www.nasdaq.com/symbol/essa
Essex Rental Corporation,ESSX,1.2676,$31.45M,31450000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/essx
"ETRE REIT, LLC",ECAV,n/a,n/a,0,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ecav
Euro Tech Holdings Company Limited,CLWT,2.6,$5.8M,5800000,1997,Consumer Durables,Diversified Electronic Products,http://www.nasdaq.com/symbol/clwt
"Euronet Worldwide, Inc.",EEFT,54.33,$2.86B,2860000000,1997,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/eeft
Euroseas Ltd.,ESEA,0.7568,$43.22M,43220000,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/esea
"EV Energy Partners, L.P.",EVEP,16.42,$797.55M,797550000,2006,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/evep
"Ever-Glory International Group, Inc.",EVK,6.3,$93.14M,93140000,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/evk
"EveryWare Global, Inc.",EVRY,1.06,$23.45M,23450000,2012,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/evry
EVINE Live Inc.,EVLV,6.56,$369.7M,369700000,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/evlv
"Evoke Pharma, Inc.",EVOK,5.68,$34.72M,34720000,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/evok
"Evolving Systems, Inc.",EVOL,8.56,$99.84M,99840000,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/evol
Exa Corporation,EXA,10.4,$143.91M,143910000,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/exa
EXACT Sciences Corporation,EXAS,25.655,$2.17B,2170000000,2001,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exas
"Exactech, Inc.",EXAC,23.18,$320.07M,320070000,1996,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/exac
Exceed Company Ltd.,EDS,1.56,$51.7M,51700000,n/a,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/eds
"Exelixis, Inc.",EXEL,2.74,$534.89M,534890000,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exel
EXFO Inc,EXFO,3.74,$107.47M,107470000,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/exfo
"ExlService Holdings, Inc.",EXLS,32.2,$1.06B,1060000000,2006,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/exls
"Expedia, Inc.",EXPE,92.3,$11.7B,11700000000,n/a,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/expe
"Expeditors International of Washington, Inc.",EXPD,45.505,$8.78B,8780000000,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/expd
"Exponent, Inc.",EXPO,88.06,$1.13B,1130000000,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/expo
Express Scripts Holding Company,ESRX,86.08,$63.17B,63170000000,1992,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/esrx
"Exterran Partners, L.P.",EXLP,23.01,$1.28B,1280000000,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/exlp
"Extreme Networks, Inc.",EXTR,3.46,$343.67M,343670000,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/extr
"Eyegate Pharmaceuticals, Inc.",EYEG,6,$41.65M,41650000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eyeg
EZchip Semiconductor Limited,EZCH,21.75,$645.95M,645950000,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/ezch
"EZCORP, Inc.",EZPW,10.37,$556.36M,556360000,1991,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/ezpw
"F5 Networks, Inc.",FFIV,119.36,$8.61B,8610000000,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/ffiv
"Facebook, Inc.",FB,79.895,$223.63B,223630000000,2012,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/fb
"Fairchild Semiconductor International, Inc.",FCS,16.11,$1.91B,1910000000,1999,Technology,Semiconductors,http://www.nasdaq.com/symbol/fcs
"FairPoint Communications, Inc.",FRP,17.65,$471.41M,471410000,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/frp
Fairway Group Holdings Corp.,FWM,5.63,$245.4M,245400000,2013,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/fwm
"FalconStor Software, Inc.",FALC,1.55,$63.43M,63430000,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/falc
"Famous Dave&#39;s of America, Inc.",DAVE,28.53,$203.81M,203810000,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dave
Farmer Brothers Company,FARM,24.09,$399.7M,399700000,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/farm
Farmers Capital Bank Corporation,FFKT,22.83,$170.94M,170940000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffkt
Farmers National Banc Corp.,FMNB,7.98,$146.9M,146900000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fmnb
"FARO Technologies, Inc.",FARO,59.04,$1.02B,1020000000,1997,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/faro
Fastenal Company,FAST,42.765,$12.65B,12650000000,1987,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/fast
"Fate Therapeutics, Inc.",FATE,5,$102.85M,102850000,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/fate
"Fauquier Bankshares, Inc.",FBSS,16.25,$60.63M,60630000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fbss
FBR & Co,FBRC,24.07,$213.75M,213750000,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/fbrc
Federal-Mogul Holdings Corporation,FDML,15.41,$2.31B,2310000000,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/fdml
Federated National Holding Company,FNHC,28.42,$398.13M,398130000,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/fnhc
FEI Company,FEIC,80.52,$3.35B,3350000000,1995,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/feic
Female Health Company (The),FHCO,3.71,$106.9M,106900000,n/a,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/fhco
Fibrocell Science Inc,FCSC,4.9,$200.2M,200200000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fcsc
"FibroGen, Inc",FGEN,30.16,$1.71B,1710000000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fgen
Fidelity Nasdaq Composite Tracker Stock,ONEQ,194.5468,$447.46M,447460000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/oneq
Fidelity Southern Corporation,LION,15.84,$337.83M,337830000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lion
Fidus Investment Corporation,FDUS,16.44,$263.48M,263480000,2011,n/a,n/a,http://www.nasdaq.com/symbol/fdus
"Fiesta Restaurant Group, Inc.",FRGI,64.96,$1.74B,1740000000,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/frgi
Fifth Street Asset Management Inc.,FSAM,12.57,$614.13M,614130000,2014,Finance,Investment Managers,http://www.nasdaq.com/symbol/fsam
Fifth Street Finance Corp.,FSC,7.21,$1.11B,1110000000,2008,n/a,n/a,http://www.nasdaq.com/symbol/fsc
Fifth Street Finance Corp.,FSCFL,24.0592,n/a,0,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fscfl
Fifth Street Senior Floating Rate Corp.,FSFR,10.92,$321.78M,321780000,2013,n/a,n/a,http://www.nasdaq.com/symbol/fsfr
Fifth Third Bancorp,FITB,19.39,$15.98B,15980000000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fitb
Fifth Third Bancorp,FITBI,27.42,$493.56M,493560000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fitbi
"Financial Engines, Inc.",FNGN,38.32,$1.99B,1990000000,2010,Finance,Investment Managers,http://www.nasdaq.com/symbol/fngn
"Financial Institutions, Inc.",FISI,22.75,$320.73M,320730000,1999,Finance,Major Banks,http://www.nasdaq.com/symbol/fisi
Finisar Corporation,FNSR,21.45,$2.22B,2220000000,1999,Technology,Semiconductors,http://www.nasdaq.com/symbol/fnsr
"Finjan Holdings, Inc.",FNJN,2.75,$61.72M,61720000,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/fnjn
FinTech Acquisition Corp.,FNTCU,10,n/a,0,2015,Finance,Business Services,http://www.nasdaq.com/symbol/fntcu
"FireEye, Inc.",FEYE,46.15,$6.94B,6940000000,2013,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/feye
First Bancorp,FBNC,17.16,$338.14M,338140000,1987,Finance,Major Banks,http://www.nasdaq.com/symbol/fbnc
"First Bancorp, Inc (ME)",FNLC,16.92,$181.41M,181410000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fnlc
First Bank,FRBA,6,$47.32M,47320000,2013,n/a,n/a,http://www.nasdaq.com/symbol/frba
First Busey Corporation,BUSE,6.41,$556.72M,556720000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/buse
"First Business Financial Services, Inc.",FBIZ,47,$186.74M,186740000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fbiz
"First Capital Bancorp, Inc. (VA)",FCVA,4.3,$55.32M,55320000,2007,Finance,Major Banks,http://www.nasdaq.com/symbol/fcva
"First Capital, Inc.",FCAP,24.5,$67.14M,67140000,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fcap
"First Cash Financial Services, Inc.",FCFS,48.92,$1.39B,1390000000,1991,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/fcfs
First Citizens Banc Corp.,FCZA,10.87,$83.79M,83790000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcza
First Citizens Banc Corp.,FCZAP,35.21,n/a,0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fczap
"First Citizens BancShares, Inc.",FCNCA,253.82,$2.44B,2440000000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcnca
First Clover Leaf Financial Corp.,FCLF,8.7,$60.96M,60960000,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fclf
"First Community Bancshares, Inc.",FCBC,16.3,$299.66M,299660000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcbc
First Community Corporation,FCCO,11.73,$78.13M,78130000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcco
"First Connecticut Bancorp, Inc.",FBNK,14.98,$240.07M,240070000,2011,Finance,Banks,http://www.nasdaq.com/symbol/fbnk
First Defiance Financial Corp.,FDEF,32,$298.99M,298990000,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fdef
"First Federal of Northern Michigan Bancorp, Inc.",FFNM,5.4464,$20.3M,20300000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffnm
First Financial Bancorp.,FFBC,17.67,$1.08B,1080000000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffbc
First Financial Bancorp.,FFBCW,6.11,n/a,0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffbcw
"First Financial Bankshares, Inc.",FFIN,26.07,$1.67B,1670000000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffin
First Financial Corporation Indiana,THFF,34.29,$442.54M,442540000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/thff
"First Financial Northwest, Inc.",FFNW,12.27,$188.7M,188700000,n/a,Finance,Banks,http://www.nasdaq.com/symbol/ffnw
First Foundation Inc.,FFWM,17.89,$138.38M,138380000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffwm
First Internet Bancorp,INBK,16.278,$72.27M,72270000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/inbk
"First Interstate BancSystem, Inc.",FIBK,26.63,$583.97M,583970000,2010,Finance,Major Banks,http://www.nasdaq.com/symbol/fibk
First Merchants Corporation,FRME,22.94,$827.55M,827550000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/frme
"First Mid-Illinois Bancshares, Inc.",FMBH,19.96,$117.26M,117260000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fmbh
"First Midwest Bancorp, Inc.",FMBI,16.82,$1.27B,1270000000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fmbi
First NBC Bank Holding Company,FNBC,32.5,$603.69M,603690000,2013,Finance,Major Banks,http://www.nasdaq.com/symbol/fnbc
First Niagara Financial Group Inc.,FNFG,8.85,$3.14B,3140000000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fnfg
First Northwest Bancorp,FNWB,12.52,$164.02M,164020000,2015,Finance,Banks,http://www.nasdaq.com/symbol/fnwb
"First Savings Financial Group, Inc.",FSFG,26.8899,$58.83M,58830000,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fsfg
"First Security Group, Inc.",FSGI,2.24,$149.69M,149690000,2005,Finance,Major Banks,http://www.nasdaq.com/symbol/fsgi
"First Solar, Inc.",FSLR,49.02,$4.91B,4910000000,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/fslr
First South Bancorp Inc,FSBK,8.11,$77.84M,77840000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fsbk
First Trust BICK Index Fund,BICK,23.96,$16.77M,16770000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bick
First Trust Capital Strength ETF,FTCS,39.2693,$86.39M,86390000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ftcs
First Trust Dorsey Wright Focus,FV,23.6,$590M,590000000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fv
First Trust Dorsey Wright International Focus 5 ETF,IFV,19.51,$26.34M,26340000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ifv
First Trust Emerging Markets Local Currency Bond ETF,FEMB,47.64,n/a,0,n/a,n/a,n/a,http://www.nasdaq.com/symbol/femb
First Trust Enhanced Short Maturity ETF,FTSM,59.97,$3M,3000000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ftsm
First Trust Eurozone AlphaDEX ETF,FEUZ,33.04,n/a,0,n/a,n/a,n/a,http://www.nasdaq.com/symbol/feuz
First Trust Exchange-Traded Fund VI Multi-Asset Diversified In,MDIV,21.44,$977.66M,977660000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mdiv
First Trust Global Tactical Commodity Strategy Fund,FTGC,25.1,$229.75M,229750000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ftgc
First Trust High Income ETF,FTHI,20.89,$3.13M,3130000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fthi
First Trust High Yield Long/Short ETF,HYLS,50.43,$186.59M,186590000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hyls
First Trust International IPO ETF,FPXI,28.96,n/a,0,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fpxi
First Trust ISE Cloud Computing Index Fund,SKYY,29.72,$423.51M,423510000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/skyy
First Trust ISE Global Platinum Index,PLTM,10.67,$10.14M,10140000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pltm
