No.,Name,Date,Age,Expedition,Nationality,Cause of death,Location
265,Dawa Tsering Sherpa,"April 25, 2015",33,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp
266,Maila (Milan) Rai,"April 25, 2015",41,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp
267,Chhimi Dawa Sherpa,"April 25, 2015",27,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp
268,Pema Yishi (Hissi) Sherpa,"April 25, 2015",,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp
269,Pasang Temba Sherpa,"April 25, 2015",,Tim Mosedale Everest Expedition (or H.G. Everest Expedition 2015),Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp
270,Krishna Kumar Rai,"April 25, 2015",,Tim Mosedale Everest Expedition (or H.G. Everest Expedition 2015),Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp
271,Tenzing (Tengien) Bhote,"April 25, 2015",,Tim Mosedale Everest Expedition (or H.G. Everest Expedition 2015),Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp
272,Renu Fotedar,"April 25, 2015",49,First Chinese Women Everest Expedition,Australia,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp
273,Lhakpa Chhiring Sherpa,"April 25, 2015",33,First Chinese Women Everest Expedition,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp
274,Vinh B Truong,"April 25, 2015",48,Trekker,United States,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp
275,Shiva Kumar Shrestha,"April 25, 2015",25,Step Up Campaign Everest,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp
276,Unknown climber,"April 25, 2015",,,,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp
277,Jangbu Sherpa,"May 1, 2015",,Adventure Consultants,Nepal,Died in Kathmandu due to injuries sustained in the Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp
278,Charles MacAdams,"May 11, 2016",62,,Canada,Cardiac event,Base Camp North Side
279,Phurba Sherpa,"May 19, 2016",25,,Nepal,Fall,Near summit
280,Eric Arnold,"May 21, 2016",35,Arnold Coster Expeditions,Netherlands,Altitude sickness,South Col / Camp IV
281,Marisa Elizabeth Strydom,"May 22, 2016",34,Arnold Coster Expeditions,Australia,"Snow blindness, stroke",Near Camp IV
282,Subhash Pal,"May 22, 2016",44,Trekking Camp Nepal,India,Altitude sickness,Around Camp III
283,Paresh Chandra Nath,"May 22, 2016",58,Trekking Camp Nepal,India,Exposure,The Balcony
284,Goutam Ghosh,"May 22, 2016",50,Trekking Camp Nepal,India,Exposure,The Balcony
285,Min Bahadur Sherchan,"May 5, 2017",85,,Nepal,Heart Attack,Base Camp
286,Roland Yearwood,"May 20, 2017",50,Everest Parivar Treks,United States,Altitude sickness,Balcony
287,Vladimír Štrba,"May 21, 2017",48,Everest Hard Way Slovak Expedition 2017,Slovakia,Altitude sickness,"Camp IV, in the tent"
288,Francesco Enrico Marchetti,"May 21, 2017",54,Expedition Himalaya,Australia,Altitude sickness,Camp IV
289,Ravi Kumar,"May 21, 2017",27,Arun Treks and Expedition,India,Fall into a 200m crevasse,Balcony
290,Lam Babu Sherpa,"May 14, 2018",45,Seven Summit Treks,Nepal,Disappearance (reportedly suffered from snow blindness),Above South Col
291,Pasang Norbu Sherpa,"May 18, 2018",41,7 Summits Club Expedition,Nepal,Stroke,8550m N.E. Ridge
292,Gjeorgi Petkov,"May 20, 2018",63,Tim Mosedale Everest Expedition Spring 2018,North Macedonia,Cardiac arrest,Above Camp III
293,Nobukazu Kuriki,"May 21, 2018",36,Solo,Japan,"Hypothermia, had previously reported ""persistent cough and pain"" during attempt",Camp II
294,Damai Sarki Sherpa,"May 21, 2018",37,"Himalayan Ascent, Seven Summit Treks",Nepal,Fall into a crevasse,Camp II
295,Chris Daly,"April 20, 2019",35,Solo,United States,Died after a fall while trekking down from base camp,Base Camp
296,Séamus (Shay) Lawless,"May 16, 2019",39,Seven Summit Treks,Ireland,Presumed dead after fall,Balcony
297,Ravi Thakar,"May 17, 2019",28,Seven Summit Treks,India,Altitude sickness,Camp 4
298,Donald Cash,"May 22, 2019",55,Pioneer Adventures,United States,Altitude sickness,Hillary Step
299,Nihal Bagwan,"May 23, 2019",27,Peak Promotions,India,Exhaustion on descent,near South Col
300,Ernst Landgraf,"May 23, 2019",65,Kobler & Partners,Austria,Exhaustion on descent,Tibet side at 8600m after summiting
301,Anjali S Kulkarni,"May 23, 2019",54,Transcent or Arun Treks,India,Exhaustion on descent,Near Camp IV
302,Kalpana Dash,"May 23, 2019",52,Dreamers Destination Treks,India,Exhaustion on descent,Near Balcony
303,Kevin Hynes,"May 24, 2019",56,360 Expeditions,Ireland,Altitude sickness,North Col
304,Dhruba Bista,"May 24, 2019",,Himalayan Ecstasy (Ski) Treks,Nepal,Exhaustion and altitude sickness,Base Camp following evacuation from Camp III
305,Robin Haynes Fisher,"May 25, 2019",44,Summit Climb/ Everest Parivar Expedition Ltd,United Kingdom,Exhaustion during descent,100 metres below peak
306,Christopher Jon Kulish,"May 27, 2019",62,Climbing the Seven Summits,United States,Cardiac event during descent,South Col
307,Puwei Liu,"May 12, 2021",55,Seven Summit Treks,United States,Exhaustion,Near South Summit
308,Abdul Waraich,"May 12, 2021",41,Seven Summit Treks,Switzerland,Exhaustion,Near South Summit
309,Pemba Tashi Sherpa,"May 18, 2021",28,Climbing the Seven Summits,Nepal,Fall into a crevasse,Between Camp I & Camp II
310,Wong Dorchi Sherpa,"May 23, 2021",,7 Summits Club,Nepal,,near South Col
