id,name,country,status,formed_in,genre,theme,active
4856,Incivism,United States,Split-up,2001,Death Metal,N/A,2001-?
4857,Incivus Infectus,Brazil,Active,2008,Death Metal,N/A,2008-2009 (as Diskolus Infectus)| 2009-present
4858,Incognosci,Brazil,Active,2012,Death Metal,Torture| Brainwasher| Trauma,2008-2010 (as Necropse)| 2012-present
4859,Inconnu,Poland,Split-up,2004,Death Metal,N/A,2004-?
4860,Incontinence,United States,Active,N/A,Death Metal,N/A,N/A
4861,Incorporeal,Greece,Split-up,2001,Death Metal,Life| Death| Feelings,2001-?
4862,Incredulos,Brazil,Active,2010,Death Metal,Psychopathy| Anti-Christian| Death| Destruction,2010-present
4863,Incremate,Germany,Active,2007,Death Metal,Murder| Violence| Insanity,2007-present
4864,Incrust,Brazil,On hold,1998,Death Metal,Gore| Death,1998-present
4865,Incubator,Germany,Active,1989,Death Metal,Death| Madness (early); Philosophy| Personal Issues,1989-2000| 2006-?| 2014-present
4866,Incubus,United States,Split-up,1986,Death Metal,Anti-Christianity,1986| 1986-1989
4867,Indamnation,Malaysia,Split-up,1996,Death Metal,N/A,1996-?
4868,Indemus,United States,Active,2012,Death Metal,Nature| Misanthropy| Oceanic themes,2012-present
4869,Indespair,Denmark,Changed name,2000,Death Metal,N/A,2000-2004| 2004-present (as Eciton)
4870,Indigent,United Kingdom,Active,2002,Death Metal,Life| Death| Insanity| Love,2002-present
4871,Indignacion,Bolivia,Active,2009,Death Metal,Environmentalism| Animals| Earth Liberation| Revolution,2009-present
4872,Indignation,Australia,Unknown,1999,Death Metal,N/A,1999-?
4873,Indignation,United States,Split-up,N/A,Death Metal,N/A,N/A
4874,Indignity,Poland,Active,2014,Death Metal,N/A,2014-present
4875,Individual Monoxide,Poland,Unknown,2006,Death Metal,N/A,2006-?
4876,Indominus,United Kingdom,Active,2016,Death Metal,Political Corruption| Genocide| World Problems| Spirituality| Religion| Death,2016-present
4877,Indulgence,Brazil,Active,2006,Death Metal,N/A,2006-present
4878,Inebriation,United States,Split-up,N/A,Death Metal,N/A,N/A
4879,Inert,International,Active,2015,Death Metal,Society| Death| Religion,2015-present
4880,Inertial Mass,Spain,Split-up,1990,Death Metal,N/A,1990-1993
4881,Inexile,United Kingdom,Split-up,1998,Death Metal,N/A,1998-?
4882,Inexorable,Germany,Active,2001,Death Metal,Death| Vanitas,2001-present
4883,Inexorable,Germany,Active,N/A,Death Metal,N/A,N/A
4884,inExordium,Australia,Split-up,2006,Death Metal,Inner Stuggles| Social Issues| Injustice,1990-2006 (as Paramæcium)| 2006-2013
4885,Inextremis,United Kingdom,Split-up,1989,Death Metal,N/A,1989-1995
4886,Infamous,Brazil,Split-up,1993,Death Metal,Occultism| Witches| Anti-Religion,1993-1997
4887,Infamous Glory,Brazil,Active,1999,Death Metal,Hatred| Nihilism| Atheism,1999-present
4888,Infamovs,Chile,Active,2014,Death Metal,Pestilence| Pest| Blasphemy| Chaos,2014-present
4889,Infant Skull,United States,Split-up,1994,Death Metal,N/A,1994-?
4890,Infant Slug,United States,Split-up,1994,Death Metal,Death| Religion| Personal Struggles,1994-1996
4891,Infanticide,Czech Republic,Unknown,1991,Death Metal,N/A,1991-?
4892,Infanticide,Norway,Split-up,1992,Death Metal,N/A,1992-?
4893,Infanticide,Norway,Changed name,1991,Death Metal,N/A,1991-?
4894,Infantricide,Brazil,Split-up,1988,Death Metal,Gore| Death| Terror,1988-2007
4895,Infaustus,United States,Split-up,1992,Death Metal,N/A,1992-?
4896,Infect,United States,Split-up,1992,Death Metal,N/A,1992-?
4897,Infected,Brazil,Split-up,1992,Death Metal,Diseases| death| destruction,1992-1995
4898,Infected,Colombia,Split-up,N/A,Death Metal,Death| Sickness| Scientist Horror,N/A
4899,Infected,Germany,Changed name,2009,Death Metal,N/A,2009-2010| 2010-present (as Hammer of Gore)
4900,Infected,Hungary,Split-up,N/A,Death Metal,N/A,N/A
4901,Infected,Italy,Active,2001,Death Metal,Anti-clerical| Ignorance,2001-present
4902,Infected Brain,Germany,Unknown,1999,Death Metal,Death| Splatter,1999-?
4903,Infected Chaos,Austria,Active,2014,Death Metal,Death| World downfall| Inner struggle,2014-present
4904,Infected Dogmas,Costa Rica,Active,2012,Death Metal,Philosophy| Esoteric| Anti-Capitalism| Anti-Religion| Social Criticism,2008-2012 (as Crimson Death)| 2012-present
4905,Infected Intestines,Finland,Split-up,1991,Death Metal,Gore| Death| Pain| Guts,1989-1990 (as Nightmare)| 1990 (as Mortuary)| 1991-1993| 1993-1994 (as Chasm)
4906,Infected Shit,Netherlands,Unknown,1999,Death Metal,N/A,1999-?
4907,Infected Suppuration,Austria,Split-up,N/A,Death Metal,N/A,N/A
4908,Infected Virulence,Germany,Split-up,1991,Death Metal,Tolkien| Dark Fantasy| Death,1991-?
4909,Infecting the Soul,United States,Split-up,N/A,Death Metal,N/A,N/A
4910,Infection,Brazil,Active,2005,Death Metal,War| Politics| Humanity| Relligion,2005-present
4911,Infection,Greece,Split-up,N/A,Death Metal,N/A,?-?| 1992-? (as Dream Weaver)
4912,Infection,Hungary,Active,2004,Death Metal,N/A,2004-present
4913,Infection,Peru,Active,2006,Death Metal,Human evilness| Serial killers| Necrophilia| Gore,2006-present
4914,Infection Corpses,Indonesia,Split-up,1997,Death Metal,N/A,1997-2004
4915,Infection Death,Czech Republic,Split-up,1990,Death Metal,N/A,1990-?
4916,Infectious MG 42,France,Unknown,2002,Death Metal,War,2002-?
4917,Infectious Offerings,Brazil,On hold,2005,Death Metal,Murder| Hate| Slaughter| Misanthropy| Bloodshed,2005-present
4918,Infective Symphony,Mexico,Active,2010,Death Metal,N/A,2010-present
4919,Infecto Cadaver,Spain,Active,N/A,Death Metal,N/A,N/A
4920,Infector,Brazil,Active,2000,Death Metal,Feelings| Death| Darkness,2000-present
4921,Infectos,Brazil,Active,2011,Death Metal,Horror| Serial Killers| Society| Disgrace| Zombie,2011-present
4922,Infectous Arteries,Indonesia,Active,1998,Death Metal,N/A,1998-present
4923,Infekt,Netherlands,Split-up,1998,Death Metal,Death| Gore,1998-?
4924,Infektus,Brazil,Active,2003,Death Metal,Anti-Christianity| Hate,2003-present
4925,Inferis,Chile,Active,1998,Death Metal,Occultism| Death| Hell,1998-present
4926,Inferius,Brazil,Active,1998,Death Metal,Anti-Christian| Hatred| Suffering,1998-present
4927,Infernal,Brazil,Split-up,1986,Death Metal,Death| Anti-Religion| Real Life,1986-2008
4928,Infernal Atavism,Japan,Active,N/A,Death Metal,N/A,N/A
4929,Infernal Baptism,Germany,Active,2011,Death Metal,Homicide and Violent Phantasy,2011-present
4930,Infernal Butchery,United States,Unknown,2007,Death Metal,Death| Gore| Horror,2007-?
4931,Infernal Conjuration,Mexico,Active,2006,Death Metal,Evilness| Possession| Death,2006-present
4932,Infernal Corpse,Indonesia,Active,2000,Death Metal,N/A,2000-present
4933,Infernal Course,Brazil,Active,1995,Death Metal,Violence| Death| Blasphemy,1995-present
4934,Infernal Curse,Germany,Split-up,1991,Death Metal,N/A,1991-1999
4935,Infernal Death,Denmark,On hold,1989,Death Metal,Death| Gore| Social| Fantasy,1989-1994| 2013-2015
4936,Infernal Death,Poland,Split-up,1991,Death Metal,Death| Fantasy| Hell| Occultism,1991-1993| 1993-1995 (as Miscarriage)| 2009-2016
4937,Infernal Defilement,United States,Active,2010,Death Metal,Revenge| Anti-Religion| Depression,2010-present
4938,Infernal Dominion,United States,Active,1999,Death Metal,Satanism| Occultism| Mysticism,1999-2005| 2012-present
4939,Infernal Gestation,Sweden,Active,N/A,Death Metal,Sickness| Gore,N/A
4940,Infernal Legion,United States,Active,2000,Death Metal,Satanism,1999-2000 (as Eviscerate)| 2000-present
4941,Infernal Maze,Poland,Split-up,1998,Death Metal,Death| Violence| Outrage,1998-?
4942,Infernal Onslaught,United States,Split-up,N/A,Death Metal,N/A,?-2014
4943,Infernal Possession,Spain,Active,2005,Death Metal,Murder/Serial Killers| Gore,2005-present
4944,Infernal Reign,Australia,Active,N/A,Death Metal,N/A,N/A
4945,Infernal Sin,Thailand,Split-up,2008,Death Metal,N/A,2008-2010
4946,Infernal Torment,Brazil,Split-up,1996,Death Metal,Antichristianism| Morbid Sexuality| Unholiness,1996-2001
4947,Infernal Torment,Denmark,Split-up,1992,Death Metal,Satanism (early)| Sex| Death| Perversion,1992-?
4948,Infernal Vision,Chile,Active,2010,Death Metal,Anti-Christianity| Death| Gore| Insanity| Zombies| Darkness| Ancient themes,2010-present
4949,Infernalia,Canada,Split-up,N/A,Death Metal,N/A,N/A
4950,Inferno,Indonesia,Split-up,N/A,Death Metal,N/A,N/A
4951,Infernus Serpest,Chile,Active,2009,Death Metal,Blasphemy,2009-present
4952,Inferos,United States,Active,N/A,Death Metal,N/A,N/A
4953,Infest,France,Split-up,1989,Death Metal,N/A,1989-?
4954,Infest,United Kingdom,Split-up,1992,Death Metal,N/A,1992-?
4955,Infestacion,Mexico,Split-up,N/A,Death Metal,Reencarnations| Inhumanity| Religions,N/A
4956,Infestation,Mexico,Active,1986,Death Metal,N/A,1989-?| 2014-present
4957,Infestation,Sweden,Split-up,1990,Death Metal,Horror| Gore,1990-?
4958,Infestation,United Kingdom,Active,1996,Death Metal,Anti-Religion,1996-present
4959,Infestation,United States,Split-up,N/A,Death Metal,N/A,N/A
4960,Infestation,United States,Split-up,1991,Death Metal,Death| Sorrow| Loss,1992-?
4961,Infestation,United States,Split-up,N/A,Death Metal,Death| Gore,N/A
4962,Infestdead,Sweden,Split-up,1994,Death Metal,Anti-Christian,1994-?
4963,Infested Entrails,Australia,Active,2011,Death Metal,Torture| Rape| Gore| Death| Beers| Bongs,2011-present
4964,Infested Tomb,Portugal,Active,2012,Death Metal,Satanism,2012-present
4965,Infester,Sweden,Split-up,1991,Death Metal,N/A,1991-1992
4966,Infester,United States,Split-up,1992,Death Metal,Gore| Occultism| Sadism| Sex,1991-1992 (as Threnodist)| 1992-?
4967,Infestor,Cuba,Split-up,1990,Death Metal,Gore,?-? (as Khaos)| 1990-1991
4968,Infestus,Spain,Split-up,1990,Death Metal,N/A,1990-?
4969,Infidel,United States,Active,2006,Death Metal,Anti-Islam,2006-present
4970,Infidelic,Finland,Unknown,2003,Death Metal,War,2003-?
4971,Infidelis,Costa Rica,Active,2013,Death Metal,Death| Darkness| Evil,2013-present
4972,Infinifixion,United States,Split-up,1993,Death Metal,War/Satanism and Mythology/Fantasy/Depression,1993-?
4973,Infinite Dawn,Romania,Unknown,N/A,Death Metal,N/A,N/A
4974,Infinite Decay,Norway,Split-up,1987,Death Metal,N/A,1987-1992
4975,Infinitum Obscure,Mexico,Active,2000,Death Metal,Anti-Religion| Darkness| Obscurity| Luciferian Philosophy/Ideology,2000-present
4976,Infinity Horror,Brazil,Active,2010,Death Metal,Blasphemy| Evilness| Scatology,2010-present
4977,Infirmary,United States,Active,1992,Death Metal,N/A,1992-?| 2010-present
4978,Infirmity,United States,Active,2010,Death Metal,Misanthropy| Social Issues| Various,2010-present
4979,Infitar,Indonesia,Active,2010,Death Metal,Vanity| Greed| Cultural Ignorance,2010-present
4980,Inflamatory,Puerto Rico,Active,2001,Death Metal,N/A,2001-present
4981,Inflammatory,Czech Republic,Split-up,1998,Death Metal,Rape| Murder| Hopelessness| Suicide,1998-?
4982,Inflection,Argentina,Active,2006,Death Metal,Zombies| Anti-Christianity,2006-present
4983,Infliction,United Kingdom,Split-up,1993,Death Metal,N/A,1993-?
4984,Infusion,United States,Split-up,1993,Death Metal,Society,1993-2005
4985,Ingen Ansikten,Germany,Changed name,2004,Death Metal,N/A,2004-2007 (as No Faces)| 2007-2012| 2012-present (as Zombie Circus)
4986,Ingrain,Germany,Split-up,1989,Death Metal,N/A,1989-?
4987,Ingrained,Sweden,Active,2003,Death Metal,Death| Philosophy,2003-present
4988,Ingraved,Italy,Active,2001,Death Metal,N/A,2001-present
4989,Ingurgitating Oblivion,Germany,Active,2001,Death Metal,N/A,1997-2001 (as Of Trees and Orchids)| 2001-2015| 2015-present
4990,Inhailed,Australia,On hold,2008,Death Metal,N/A,2008-present
4991,Inharmonic,Finland,Active,2007,Death Metal,N/A,2007-present
4992,Inhearted,Mexico,Split-up,2006,Death Metal,Psychological fear| Hate| Death,2006-2010
4993,Inherent Scream,Ukraine,Active,2006,Death Metal,N/A,2006-2008| 2010-present
4994,Inherited Truth,Japan,Active,2007,Death Metal,Loneliness| Hate| Anger,2007-present
4995,Inherithrone,Chile,Active,2011,Death Metal,Domination| Chaos,2011-present
4996,Inheritours,Brazil,Active,2002,Death Metal,N/A,2002-present
4997,Inhumacion Masiva,Guatemala,Active,2011,Death Metal,Social Protest,2011-present
4998,Inhuman,Germany,Changed name,1993,Death Metal,N/A,1993-1998| 1998-present (as Soul Demise)
4999,Inhuman,Philippines,Active,2009,Death Metal,Instrumental,2009-present
5000,Inhuman,Poland,Split-up,N/A,Death Metal,N/A,N/A
5001,Inhuman,United States,Split-up,1995,Death Metal,N/A,1995-?
5002,Inhuman Behaviours,Italy,Unknown,2010,Death Metal,N/A,2010-?
5003,Inhuman Gestation,United States,Split-up,1997,Death Metal,Anti-religion| Gore| Humour,1997-?
5004,Inhuman Hatred,Belgium,Split-up,1998,Death Metal,Gore,1998-2006
5005,Inhuman Remnants,Australia,Active,2011,Death Metal,Hatred| Insanity| Anti-religion,2011-present
5006,Inhumane,Ireland,On hold,1996,Death Metal,Violence| Gore,1996-present
5007,Inhumanised,Netherlands,Active,N/A,Death Metal,N/A,N/A
5008,Inhumanity,Indonesia,Active,2001,Death Metal,Destruction| Sacrifice| Visionary Viewpoint,2001-present
5009,Inhumanity,Poland,Active,2008,Death Metal,Perception| Sickness| Mind Control,2008-present
5010,Inhumanity,Ukraine,Active,N/A,Death Metal,N/A,N/A
5011,Inhumanity,United States,Active,1993,Death Metal,Death| Gore| Violence,1993-1994| 2008-2010| 2010-present
5012,Inhumanity,United States,Changed name,2002,Death Metal,Ethereal Death| Apocalypse| Nihilism,2002-2004| 2004-2007 (as Kilhumanity)
5013,Inhumano,Peru,Active,2002,Death Metal,Gore| Anti-Christianity,2002-present
5014,Inhumation,United States,Split-up,N/A,Death Metal,N/A,N/A
5015,Iniquitous,United States,Split-up,1998,Death Metal,Nighmares| Death| Paranoia| Horror,1998-?
5016,Iniquitous,United States,Unknown,2002,Death Metal,N/A,2002-?
5017,Iniquity,United States,Split-up,1991,Death Metal,N/A,1991-1996
5018,Inisans,Sweden,Active,2009,Death Metal,N/A,2009-present
5019,Initium,United States,Split-up,2004,Death Metal,N/A,2004 (as Bloodright)| 2004-?
5020,Iniuria,Netherlands,Split-up,2005,Death Metal,N/A,2005-2013
5021,Injection,Germany,Active,N/A,Death Metal,N/A,N/A
5022,Injuria,Colombia,Active,2009,Death Metal,Horror| Blood| Death| Hate,2009-present
5023,Injustice,United States,Split-up,1986,Death Metal,Gore| Mutilation| Death,1986-1990
5024,Inkblack,Netherlands,Split-up,1998,Death Metal,N/A,1998-?
5025,Inmortem,Colombia,Active,2010,Death Metal,Death| Violence| Blood,2010-present
5026,Innard Splatter,New Zealand,Unknown,2006,Death Metal,Gore,2006-?
5027,Innards Decay,Canada,Split-up,N/A,Death Metal,N/A,N/A
5028,Inner Betrayer,Colombia,Active,2010,Death Metal,Violence| War| Hatred| Society,2010-present
5029,Inner Bleeding,Germany,Split-up,1990,Death Metal,N/A,1990-?
5030,Inner Creation,Italy,Active,1997,Death Metal,N/A,1997-present
5031,Inner Death,Germany,Changed name,1995,Death Metal,N/A,1995-1997| 1997-present (as Conjuring)
5032,Inner Demons Rise,Brazil,Active,2008,Death Metal,Fantasy| Literature,2008-present
5033,Inner Dystopia,Chile,Active,2013,Death Metal,Nature| Death| Misanthrophy,2013-present
5034,Inner Fear,Netherlands,Split-up,1993,Death Metal,Darkness & Death,1993-?
5035,Inner Grotesque,Germany,Split-up,1993,Death Metal,N/A,1993-?
5036,Inner Hate,Czech Republic,Active,2002,Death Metal,War Conflicts| Inner Feelings| History,2002-present
5037,Inner Hate,Puerto Rico,Active,2003,Death Metal,Death| War,2003-present
5038,Inner Misery,Canada,Split-up,1994,Death Metal,N/A,?-1994 (as Misery)| 1994-?
5039,Inner Sanctum,United States,Split-up,N/A,Death Metal,Rituals| death,N/A
5040,Inner Sanctvm,Uruguay,Active,1989,Death Metal,Esoteric| Avant-garde,1989-1997| 2006| 2009-present
5041,Inner War,United States,Active,2000,Death Metal,N/A,2000-present
5042,Innermost,Spain,Split-up,1995,Death Metal,N/A,1995-?
5043,Inno Obscuritas,Chile,Unknown,2001,Death Metal,Cosmic Elements| Blasphemy| Doom,2001-?
5044,Innovation Threat,United Kingdom,Active,1996,Death Metal,N/A,1996-present
5045,Innumerable Forms,United States,Active,N/A,Death Metal,N/A,N/A
5046,Inoculara,United States,Active,N/A,Death Metal,N/A,N/A
5047,Inoculation,Brazil,Split-up,1992,Death Metal,Occultism,1992-2005
5048,Inoculation,United States,Active,2011,Death Metal,Aliens| Ancient Aliens| Satan| Occult,2011-present
5049,Inquest,United States,Split-up,2004,Death Metal,Personal Conflict| Social Issues,2004-2006
5050,Inquiring Blood,Germany,Active,2004,Death Metal,N/A,2004-present
5051,Inquisicion,Argentina,Active,2008,Death Metal,Death| The Inquisition| Satanism| Murders,2008-present
5052,Inrectum,Germany,Split-up,2003,Death Metal,N/A,2003-?
5053,Insacred,Malaysia,Active,2009,Death Metal,Demonism| Occult| False Gods,?-? (as Greed Killing)| ?-? (as Collateral Damage)| ?-? (as Cranium)| 2005-2009 (as Incisor)| 2009-present
5054,Insalubrious,Sweden,Split-up,1993,Death Metal,N/A,1993-?
5055,Insanatory,Germany,Split-up,2010,Death Metal,Pain| Torments| Gore,2010-2011
5056,Insane,Czech Republic,Active,1994,Death Metal,N/A,1994-present
5057,Insane,Portugal,Split-up,1992,Death Metal,N/A,1992-?
5058,Insane,Venezuela,Changed name,2002,Death Metal,N/A,2002-?| ?-present (as Nanyuhe)
5059,Insane Mind,Germany,Active,2002,Death Metal,Gore| Rape| Sex,2002-present
5060,Insane Obsession,Sweden,Split-up,2001,Death Metal,N/A,2001-?
5061,Insangel,United States,Split-up,N/A,Death Metal,N/A,N/A
5062,Insanity,France,Split-up,N/A,Death Metal,N/A,N/A
5063,Insanity,Poland,Split-up,1992,Death Metal,N/A,1992-?
5064,Insanity,Spain,Split-up,N/A,Death Metal,Horror| Death| Pain,N/A
5065,Insanity Mind,Spain,Split-up,1993,Death Metal,Death| Gore| Madness,1993-?
5066,Insannity,Brazil,Active,2005,Death Metal,N/A,2005-present
5067,Insepulto,Costa Rica,Active,1993,Death Metal,Death,1993-?| 2008-present
5068,Insepultus,Slovakia,Split-up,1990,Death Metal,N/A,1990-?
5069,Inset,Poland,Active,2011,Death Metal,Death,2011-present
5070,Inside Dead,Russia,Split-up,1992,Death Metal,N/A,1992-?
5071,Inside Hatred,Brazil,Active,2004,Death Metal,Anti-Christianity| Death| Fear| Alienation,2004-present
5072,Insidious,Argentina,Active,2011,Death Metal,N/A,2011-present
5073,Insidius,Poland,Active,1990,Death Metal,N/A,1990-1992| 2010-present
5074,Insinner,Malaysia,Active,2013,Death Metal,Death| Pain| Decay| Evil| Misanthropy,2013-present
5075,Insolence,Germany,Split-up,2005,Death Metal,Hatred| Domination| Genocide,2005-?
5076,Insolent,Czech Republic,Split-up,2003,Death Metal,Anti-Christian,2003-?
5077,InSolitude,Sweden,Active,2001,Death Metal,Solitude| Winter| Life,2001-present
5078,Insolitum,Brazil,Active,2009,Death Metal,Satanism| Hate| Darkness,2009-present
5079,Insomnia,Belarus,Split-up,N/A,Death Metal,N/A,N/A
5080,Instant,Finland,Active,2015,Death Metal,N/A,2015-present
5081,Instruction Killer,Indonesia,Active,2010,Death Metal,N/A,2010-present
5082,Insult,Sweden,Active,2004,Death Metal,N/A,2004-present
5083,Insurrection,Brazil,Split-up,1992,Death Metal,N/A,1992-?
5084,Insurrection,Canada,Active,2003,Death Metal,Politics| Society| Life| Struggles,2003-present
5085,Insurrection,South Africa,Split-up,1991,Death Metal,Death,1991-?
5086,Intemperence,Norway,Changed name,2006,Death Metal,N/A,2006-2010| 2010-present (as Mammon)
5087,Intense,Hungary,Split-up,1996,Death Metal,N/A,1990-1996 (as Intense Agonizing)| 1996-?
5088,Intense Desire to Kill,Brazil,Active,N/A,Death Metal,N/A,N/A
5089,Intercranial Tremors,Australia,Active,N/A,Death Metal,N/A,N/A
5090,Interfectorem,Austria,Split-up,2011,Death Metal,N/A,2011-2014
5091,Interior of Death,Poland,Active,1998,Death Metal,N/A,1997-1998 (as Suffer)| 1998-present
5092,Interitus Dei,Germany,Split-up,N/A,Death Metal,N/A,N/A
5093,Interium,Brazil,Active,2000,Death Metal,Anti-Christianity| Inner Thoughts| Death| War,2000-present
5094,Interment,Finland,Split-up,1989,Death Metal,Gore| Death,1989-?
5095,Interment,Latvia,Split-up,2003,Death Metal,N/A,2003-?
5096,Interment,Sweden,Active,1990,Death Metal,Morbidity| Death| Evil| Darkness,1988-1990 (as Beyond)| 1990-1994| 2002-present
5097,Interment,United States,Active,1991,Death Metal,N/A,1991-1994| 2009-present
5098,Internal Augmentation,Australia,Split-up,2004,Death Metal,Death| Apocalypse| Suicide,2004-?
5099,Internal Bleed,Brazil,Active,2006,Death Metal,Flesh| Death| Gore,2006-present
5100,Internal Bleeding,Italy,Changed name,1992,Death Metal,N/A,1992-1994| 1994 (as Carnal Rapture)| 2004-present (as Carnal Rapture)
5101,Internal Corpse Attack,United Kingdom,Split-up,N/A,Death Metal,N/A,N/A
5102,Internal Decapitation,United States,Split-up,2009,Death Metal,N/A,2009-2014
5103,Internal Decay,Germany,Split-up,1991,Death Metal,N/A,1991-?
5104,Internal Decay,Sweden,Active,1991,Death Metal,Depression| Sorrow| Despair| Darkness,1987-1988 (as Misery)| 1988-1989 (as Critical State)| 1989-1991 (as Subliminal Fear)| 1991-1994| 2009-present
5105,Internal Fear,United States,Unknown,2007,Death Metal,N/A,2007-?
5106,Internal Lesions,France,Active,2010,Death Metal,Autodestructive attitude| Anti-social beliefs| Burnout,2010-present
5107,Internaldeath,Brazil,Active,2013,Death Metal,Murder| Suicide| Slaughter| War,2013-present
5108,Internecine,United States,Split-up,1997,Death Metal,Anti-Christian| Occult,1997-2000
5109,Internecine Excoriation,Australia,Split-up,2005,Death Metal,N/A,2005-?
5110,Intestate,Japan,Unknown,N/A,Death Metal,N/A,N/A
5111,Intestinal,Sweden,Active,2008,Death Metal,Death| Gore| Torture| Cannibalism,2008-present
5112,Intestinal Abscess,Czech Republic,Split-up,1996,Death Metal,N/A,1996-2001
5113,Intestinal Disorder,United States,Split-up,1990,Death Metal,N/A,1990-?| 2011-?
5114,Intestinal Vomit,Brazil,Active,2004,Death Metal,Horror| Death| Blasphemy| Splatter,2004-present
5115,Inthefreak,Italy,Split-up,1999,Death Metal,N/A,1999-?
5116,Into Darkness,Germany,Active,1995,Death Metal,Torture| Violence| Death,1995-present
5117,Into Ruin,Australia,Active,2014,Death Metal,N/A,2014-present
5118,Into the Fire,Brazil,Active,2010,Death Metal,Anti-Christianity,2010-present
5119,Into the Grey,United States,Active,2003,Death Metal,Gore| Religion| Cynicism,2003-2006
5120,Into the Nightmare,Poland,Split-up,2000,Death Metal,Death| Suffering| Gore,2000-?
5121,Intolerable Nudity,United States,Active,N/A,Death Metal,N/A,N/A
5122,Intolerance,Spain,Active,2015,Death Metal,N/A,2015-present
5123,Intoxication,Spain,Split-up,1991,Death Metal,N/A,1990-1991 (as Suffocation)| 1991-?
5124,Introspection,Brazil,Active,2006,Death Metal,Nietzsche Nihilism,2006-present
5125,Introtyl,Mexico,Active,2009,Death Metal,Psychiatric disorders,2008-2009 (as Redroot)| 2009-present
5126,Introvert,Indonesia,Active,2015,Death Metal,Social,2004-2011 (as Tour of Hell)| 2012-2015 (as Tour of Hell)| 2015-present
5127,Intumescence,Switzerland,Split-up,1989,Death Metal,N/A,1989-?
5128,Inui,Germany,Unknown,2004,Death Metal,N/A,2004-?
5129,Inuksuk,Mexico,Active,2012,Death Metal,War| Death,2012-present
5130,Invader,Indonesia,Active,2008,Death Metal,N/A,2008-present
5131,Invalid Existence,United States,Split-up,1991,Death Metal,Death| Gore| Blasphemy,1991-?
5132,Invented God,Poland,Active,2012,Death Metal,War| Destruction| Death,2012-present
5133,Inversion,United States,Active,1998,Death metal,Christianity,1998-present
5134,Inversus,United Kingdom,Split-up,N/A,Death Metal,N/A,N/A
5135,Inverted,Italy,Active,2008,Death Metal,War| Death| Human and Natural disasters,2007-2008 (as Cyanide Christ)| 2008-present
5136,Inverted,Sweden,Split-up,1991,Death Metal,Unholy themes,1991 (as Inverted Cross)| 1991-1998
5137,Inverted Cross,Sweden,Split-up,2012,Death Metal,Death| Evil| Chaos,2012-2013
5138,Inverted Liturgy,Italy,Split-up,N/A,Death Metal,N/A,N/A
5139,Inverted Pyramid,Italy,Active,2009,Death Metal,Conspiracies| Spirituality| War,2009-present
5140,Inverted Serenity,Canada,Active,2009,Death Metal,Philosophy| Consciousness| Gnosticism| Enlightenment| Science| Nature,2009-present
5141,Invictrius,Belgium,Split-up,2004,Death Metal,N/A,2004-2008
5142,Invictus,Japan,Active,N/A,Death Metal,N/A,N/A
5143,Invictus,Netherlands,Split-up,1992,Death Metal,N/A,1992-?
5144,Invidiosus,United States,Active,2006,Death Metal,Humorous Puns| Gore and General Humor,2006-present
5145,Invidious,Sweden,Unknown,2007,Death Metal,Death| Salvation,2005-2007 (as Katalysator)| 2007-?
5146,Inviscerated,United States,Changed name,2001,Death Metal,Hate| Religion| Society| Porn| Gore| Death,2001-2004| 2004-present (as Kill All Resistance)
5147,Invocated Chaos,Germany,Changed name,2003,Death Metal,War| Spiritual| Society,2003-?| ?-present (as Humiliation)
5148,Invocation,Australia,Split-up,1997,Death Metal,Demonology| Satanism| Lovecraft,1997-2005
5149,Invocation,Indonesia,Active,N/A,Death Metal,Infidelity| Doomsday| Religion,N/A
5150,Invoid.,Germany,Split-up,2001,Death Metal,N/A,2001-?
5151,Invokation,Germany,Active,2007,Death Metal,N/A,2007-present
5152,Invoking Suffering,Denmark,Split-up,1992,Death Metal,Death| Rituals| Satan| Sex,1992-?
5153,Inward Infect,Germany,Split-up,N/A,Death Metal,N/A,N/A
5154,Inward Sanctum,Greece,Split-up,1997,Death Metal,N/A,1997-?
5155,Ion Disruption,Belarus,Active,2008,Death Metal,Death| War| Destruction,1997-2008 (as Warkraft)| 2008-present
5156,Ira,Italy,Active,1997,Death Metal,Reality| Decadence| Death,1997-present
5157,Ira Projeckts,Chile,Active,2004,Death Metal,Hatred| pent-up aggression,2004-present
5158,Iranach,United States,Split-up,N/A,Death Metal,N/A,N/A
5159,Iron Harvest,Netherlands,Split-up,2012,Death Metal,N/A,2012-2016
5160,Ironic Reversal,India,Active,2014,Death Metal,Sci-fi| Apocalypse,2014-present
5161,Irredemption,Spain,Active,1996,Death Metal,N/A,1996-present
5162,Iscariot,Poland,Active,2001,Death Metal,Dying| Fear| Madness,2001-2011
5163,Iscaroth,Sweden,Active,2009,Death Metal,Death| Political| Religion,2009-present
5164,Ishi,Colombia,Active,2003,Death Metal,Christianity,2003-present
5165,Isiul,Austria,Unknown,N/A,Death Metal,N/A,N/A
5166,Iskander,Netherlands,Split-up,N/A,Death Metal,Death,N/A
5167,Islay,Germany,Active,2009,Death Metal,Scotch whisky,2009-present
5168,Isolate,Brazil,Active,2007,Death Metal,Human Mind| Isolation| Afterlife,2007-present
5169,Isolated,Poland,Active,1995,Death Metal,N/A,1994-1995 (as Bastion)| 1995-present
5170,Isolation,Germany,Split-up,1990,Death Metal,N/A,1990-?
5171,Israfel,United States,Active,2005,Death Metal,Death| Struggles,2005-present
