state,year,population
WV,1990,1792548.0
WI,1990,4904562.0
WI,1991,4964343.0
WI,1993,5084889.0
WI,1992,5025398.0
WI,1994,5133678.0
WI,1995,5184836.0
WI,1996,5229986.0
WI,1998,5297673.0
WI,1997,5266213.0
WI,1999,5332666.0
WI,2000,5373999.0
WI,2001,5406835.0
WI,2002,5445162.0
WI,2004,5514026.0
WI,2003,5479203.0
WI,2005,5546166.0
WI,2006,5577655.0
WI,2008,5640996.0
WI,2007,5610775.0
WI,2013,5742713.0
WI,2009,5669264.0
WI,2010,5689060.0
WI,2011,5708785.0
WI,2012,5724554.0
WY,2012,576626.0
WY,2011,567329.0
WY,2010,564222.0
WY,2009,559851.0
WY,2013,582658.0
WY,2007,534876.0
WY,2008,546043.0
WY,2006,522667.0
WY,2005,514157.0
WY,2003,503453.0
WY,2004,509106.0
WY,2002,500017.0
WY,2001,494657.0
WY,2000,494300.0
WY,1999,491780.0
WY,1997,489452.0
WY,1998,490787.0
WY,1996,488167.0
WY,1995,485160.0
WY,1994,480283.0
WY,1992,466251.0
WY,1993,473081.0
WY,1991,459260.0
WY,1990,453690.0
PR,1990,
PR,1991,
PR,1993,
PR,1992,
PR,1994,
PR,1995,
PR,1996,
PR,1998,
PR,1997,
PR,1999,
PR,2000,3810605.0
PR,2001,3818774.0
PR,2002,3823701.0
PR,2004,3826878.0
PR,2003,3826095.0
PR,2005,3821362.0
PR,2006,3805214.0
PR,2007,3782995.0
PR,2008,3760866.0
PR,2013,3615086.0
PR,2009,3740410.0
PR,2010,3721208.0
PR,2011,3686580.0
PR,2012,3651545.0
USA,1990,249622814.0
USA,1991,252980942.0
USA,1992,256514231.0
USA,1993,259918595.0
USA,1994,263125826.0
USA,1995,266278403.0
USA,1996,269394291.0
USA,1997,272646932.0
USA,1998,275854116.0
USA,2000,282162411.0
USA,1999,279040181.0
USA,2001,284968955.0
USA,2002,287625193.0
USA,2003,290107933.0
USA,2004,292805298.0
USA,2005,295516599.0
USA,2006,298379912.0
USA,2007,301231207.0
USA,2008,304093966.0
USA,2013,316128839.0
USA,2009,306771529.0
USA,2010,309326295.0
USA,2011,311582564.0
USA,2012,313873685.0
