Rank,Company,Sector,Industry,Location,Revenue,Profits,Employees
314,Peter Kiewit Sons’,Engineering & Construction,"Engineering, Construction","Omaha, NE",8992,251,22000
315,Univar,Wholesalers,Miscellaneous,"Downers Grove, IL",8982,17,9200
316,Mosaic,Chemicals,Chemicals,"Plymouth, MN",8895,1000,8900
317,Core-Mark Holding,Wholesalers,Wholesalers: Food and Grocery,"South San Francisco, CA",8858,52,6655
318,Thrivent Financial for Lutherans,Financials,"Insurance: Life, Health (Mutual)","Minneapolis, MN",8789,769,3104
319,Cameron International,Energy,"Oil and Gas Equipment, Services","Houston, TX",8782,501,23000
320,HD Supply Holdings,Wholesalers,Wholesalers: Diversified,"Atlanta, GA",8779,1472,14000
321,Crown Holdings,Materials,"Packaging, Containers","Philadelphia, PA",8762,393,24000
322,EOG Resources,Energy,"Mining, Crude-Oil Production","Houston, TX",8757,-4525,2760
323,Veritiv,Wholesalers,Wholesalers: Diversified,"Atlanta, GA",8718,27,8800
324,Anadarko Petroleum,Energy,"Mining, Crude-Oil Production","The Woodlands, TX",8698,-6692,5800
325,Laboratory Corp. of America,Health Care,Health Care: Pharmacy and Other Services,"Burlington, NC",8680,437,50000
326,Pacific Life,Financials,"Insurance: Life, Health (stock)","Newport Beach, CA",8642,661,3276
327,News Corp.,Media,"Publishing, Printing","New York, NY",8633,-147,25000
328,Jarden,Household Products,"Home Equipment, Furnishings","Boca Raton, FL",8604,147,40000
329,SunTrust Banks,Financials,Commercial Banks,"Atlanta, GA",8533,1933,24043
330,Avis Budget Group,Retailing,"Automotive Retailing, Services","Parsippany, NJ",8502,313,26350
331,Broadcom,Technology,Semiconductors and Other Electronic Components,"Irvine, CA",8394,978,9950
332,American Family Insurance Group,Financials,Insurance: Property and Casualty (Stock),"Madison, WI",8286,694,9843
333,Level 3 Communications,Telecommunications,Telecommunications,"Broomfield, CO",8229,3433,12500
334,Tenneco,Motor Vehicles & Parts,Motor Vehicles and Parts,"Lake Forest, IL",8209,247,30000
335,United Natural Foods,Wholesalers,Wholesalers: Food and Grocery,"Providence, RI",8185,139,8700
336,Dean Foods,"Food, Beverages & Tobacco",Food Consumer Products,"Dallas, TX",8122,-9,16960
337,Campbell Soup,"Food, Beverages & Tobacco",Food Consumer Products,"Camden, NJ",8082,691,18600
338,Mohawk Industries,Household Products,"Home Equipment, Furnishings","Calhoun, GA",8072,615,34100
339,BorgWarner,Motor Vehicles & Parts,Motor Vehicles and Parts,"Auburn Hills, MI",8023,610,30000
340,PVH,Apparel,Apparel,"New York, NY",8020,572,26200
341,Ball,Materials,"Packaging, Containers","Broomfield, CO",7997,281,15200
342,O’Reilly Automotive,Retailing,Specialty Retailers: Other,"Springfield, MO",7967,931,54911
343,Eversource Energy,Energy,Utilities: Gas and Electric,"Springfield, MA",7955,879,7943
344,Franklin Resources,Financials,Securities,"San Mateo, CA",7949,2035,9489
345,Masco,Household Products,"Home Equipment, Furnishings","Taylor, MI",7904,355,25000
346,Lithia Motors,Retailing,"Automotive Retailing, Services","Medford, OR",7864,183,9574
347,KKR,Financials,Securities,"New York, NY",7786,489,1196
348,Oneok,Energy,Pipelines,"Tulsa, OK",7763,245,2364
349,Newmont Mining,Energy,"Mining, Crude-Oil Production","Greenwood Village, CO",7729,220,15601
350,PPL,Energy,Utilities: Gas and Electric,"Allentown, PA",7669,682,12799
351,SpartanNash,Wholesalers,Wholesalers: Food and Grocery,"Byron Center, MI",7652,63,11850
352,Quanta Services,Engineering & Construction,"Engineering, Construction","Houston, TX",7632,311,24500
353,XPO Logistics,Transportation,Transportation and Logistics,"Greenwich, CT",7623,-191,89000
354,Ralph Lauren,Apparel,Apparel,"New York, NY",7620,702,20000
355,Interpublic Group,Business Services,"Advertising, marketing","New York, NY",7614,455,49200
356,Steel Dynamics,Materials,Metals,"Fort Wayne, IN",7594,-130,7500
357,WESCO International,Wholesalers,Wholesalers: Diversified,"Pittsburgh, PA",7519,211,9300
358,Quest Diagnostics,Health Care,Health Care: Pharmacy and Other Services,"Madison, NJ",7493,709,44000
359,Boston Scientific,Health Care,Medical Products and Equipment,"Marlborough, MA",7477,-239,25000
360,AGCO,Industrials,Construction and Farm Machinery,"Duluth, GA",7467,266,19588
361,Foot Locker,Retailing,Specialty Retailers: Apparel,"New York, NY",7412,541,30985
362,Hershey,"Food, Beverages & Tobacco",Food Consumer Products,"Hershey, PA",7387,513,19885
363,CenterPoint Energy,Energy,Utilities: Gas and Electric,"Houston, TX",7386,-692,7505
364,Williams,Energy,Energy,"Tulsa, OK",7360,-571,6578
365,Dick’s Sporting Goods,Retailing,Specialty Retailers: Other,"Coraopolis, PA",7271,330,25150
366,Live Nation Entertainment,Media,Entertainment,"Beverly Hills, CA",7246,-33,12200
367,Mutual of Omaha Insurance,Financials,"Insurance: Life, Health (stock)","Omaha, NE",7236,333,5488
368,W.R. Berkley,Financials,Insurance: Property and Casualty (Stock),"Greenwich, CT",7207,504,7621
369,LKQ,Wholesalers,Wholesalers: Diversified,"Chicago, IL",7193,423,31100
370,Avon Products,Household Products,Household and Personal Products,"New York, NY",7173,-1149,30900
371,Darden Restaurants,"Hotels, Resturants & Leisure",Food Services,"Orlando, FL",7164,710,148892
372,Kindred Healthcare,Health Care,Health Care: Medical Facilities,"Louisville, KY",7098,-93,77800
373,Weyerhaeuser,Materials,Forest and Paper Products,"Federal Way, WA",7082,506,12600
374,Casey’s General Stores,Retailing,Specialty Retailers: Other,"Ankeny, IA",7052,181,22408
375,Sealed Air,Materials,"Packaging, Containers","Charlotte, NC",7032,335,23000
376,Fifth Third Bancorp,Financials,Commercial Banks,"Cincinnati, OH",7031,1712,18261
377,Dover,Industrials,Industrial Machinery,"Downers Grove, IL",7029,870,26000
378,Huntington Ingalls Industries,Aerospace & Defense,Aerospace and Defense,"Newport News, VA",7020,404,35995
379,Netflix,Retailing,Specialty Retailers: Other,"Los Gatos, CA",6780,123,3700
380,Dillard’s,Retailing,General Merchandisers,"Little Rock, AR",6755,269,30600
381,EMCOR Group,Engineering & Construction,"Engineering, Construction","Norwalk, CT",6723,172,29000
382,Jones Financial,Financials,Securities,"Des Peres, MO",6694,838,41000
383,AK Steel Holding,Materials,Metals,"West Chester, OH",6693,-509,8500
384,UGI,Energy,Energy,"King of Prussia, PA",6691,281,13570
385,Expedia,Technology,Internet Services and Retailing,"Bellevue, WA",6672,765,18730
386,salesforce.com,Technology,Computer Software,"San Francisco, CA",6667,-47,19742
387,Targa Resources,Energy,Pipelines,"Houston, TX",6659,58,1870
388,Apache,Energy,"Mining, Crude-Oil Production","Houston, TX",6654,-23119,3860
389,Spirit AeroSystems Holdings,Aerospace & Defense,Aerospace and Defense,"Wichita, KS",6644,789,15200
390,Expeditors International of Washington,Transportation,Transportation and Logistics,"Seattle, WA",6617,457,15397
391,Anixter International,Wholesalers,Wholesalers: Diversified,"Glenview, IL",6596,128,8700
392,Fidelity National Information Services,Business Services,Financial Data Services,"Jacksonville, FL",6595,632,55000
393,Asbury Automotive Group,Retailing,"Automotive Retailing, Services","Duluth, GA",6588,169,8600
394,Hess,Energy,Petroleum Refining,"New York, NY",6575,-3056,2770
395,Ryder System,Transportation,"Trucking, Truck Leasing","Miami, FL",6572,305,33100
396,Terex,Industrials,Construction and Farm Machinery,"Westport, CT",6543,146,20400
397,Coca-Cola European Partners,"Food, Beverages & Tobacco",Beverages,"Atlanta, GA",6540,596,11500
398,Auto-Owners Insurance,Financials,Insurance: Property and Casualty (Mutual),"Lansing, MI",6517,815,4483
399,Cablevision Systems,Telecommunications,Telecommunications,"Bethpage, NY",6510,175,13549
400,Symantec,Technology,Computer Software,"Mountain View, CA",6508,878,19000
401,Charles Schwab,Financials,Securities,"San Francisco, CA",6501,1447,15300
402,Calpine,Energy,Energy,"Houston, TX",6472,235,2209
403,CMS Energy,Energy,Utilities: Gas and Electric,"Jackson, MI",6456,523,7758
404,Alliance Data Systems,Business Services,Financial Data Services,"Plano, TX",6440,597,16000
405,JetBlue Airways,Transportation,Airlines,"Long Island City, NY",6416,677,14537
406,Discovery Communications,Media,Entertainment,"Silver Spring, MD",6394,1034,7000
407,Trinity Industries,Transportation,Transportation Equipment,"Dallas, TX",6393,797,22030
408,Sanmina,Technology,Semiconductors and Other Electronic Components,"San Jose, CA",6375,377,38910
409,NCR,Technology,"Computers, Office Equipment","Duluth, GA",6373,-178,32600
410,FMC Technologies,Energy,"Oil and Gas Equipment, Services","Houston, TX",6363,393,17400
411,Erie Insurance Group,Financials,Insurance: Property and Casualty (Stock),"Erie, PA",6351,175,4800
412,Rockwell Automation,Industrials,"Electronics, Electrical Equip.","Milwaukee, WI",6308,828,22500
413,Dr Pepper Snapple Group,"Food, Beverages & Tobacco",Beverages,"Plano, TX",6282,764,19000
414,iHeartMedia,Media,Entertainment,"San Antonio, TX",6242,-755,18700
415,Tractor Supply,Retailing,Specialty Retailers: Other,"Brentwood, TN",6227,410,17500
416,J.B. Hunt Transport Services,Transportation,"Trucking, Truck Leasing","Lowell, AR",6188,427,21562
417,Commercial Metals,Materials,Metals,"Irving, TX",6162,142,9126
418,Owens-Illinois,Materials,"Packaging, Containers","Perrysburg, OH",6156,-74,27000
419,Harman International Industries,Industrials,"Electronics, Electrical Equip.","Stamford, CT",6155,343,24197
420,Baxalta,Health Care,Pharmaceuticals,"Bannockburn, IL",6149,956,17000
421,American Financial Group,Financials,Insurance: Property and Casualty (Stock),"Cincinnati, OH",6145,352,7400
422,NetApp,Technology,Computer Peripherals,"Sunnyvale, CA",6123,560,12810
423,Graybar Electric,Wholesalers,Wholesalers: Diversified,"St. Louis, MO",6110,91,8300
424,Oshkosh,Motor Vehicles & Parts,Motor Vehicles and Parts,"Oshkosh, WI",6098,230,13300
425,Ameren,Energy,Utilities: Gas and Electric,"St. Louis, MO",6098,630,8527
426,A-Mark Precious Metals,Materials,Miscellaneous,"Santa Monica, CA",6070,7,52
427,Barnes & Noble,Retailing,Specialty Retailers: Other,"New York, NY",6070,37,37000
428,Dana Holding,Motor Vehicles & Parts,Motor Vehicles and Parts,"Maumee, OH",6060,159,23100
429,Constellation Brands,"Food, Beverages & Tobacco",Beverages,"Victor, NY",6028,839,7200
430,LifePoint Health,Health Care,Health Care: Medical Facilities,"Brentwood, TN",6014,182,40000
431,Zimmer Biomet Holdings,Health Care,Medical Products and Equipment,"Warsaw, IN",5998,147,17500
432,Harley-Davidson,Transportation,Transportation Equipment,"Milwaukee, WI",5995,752,6300
433,PulteGroup,Engineering & Construction,Homebuilders,"Atlanta, GA",5982,494,4542
434,Newell Brands,Household Products,"Home Equipment, Furnishings","Atlanta, GA",5972,350,17200
435,Avery Dennison,Materials,"Packaging, Containers","Glendale, CA",5967,274,25000
436,Jones Lang LaSalle,Financials,Real estate,"Chicago, IL",5966,439,61500
437,WEC Energy Group,Energy,Utilities: Gas and Electric,"Milwaukee, WI",5926,640,8211
438,Marathon Oil,Energy,"Mining, Crude-Oil Production","Houston, TX",5861,-2204,2611
439,TravelCenters of America,Retailing,Specialty Retailers: Other,"Westlake, OH",5851,28,18450
440,United Rentals,Business Services,Miscellaneous,"Stamford, CT",5817,585,12700
441,HRG Group,Household Products,Household and Personal Products,"New York, NY",5816,-557,15922
442,Old Republic International,Financials,Insurance: Property and Casualty (Stock),"Chicago, IL",5766,422,8200
443,Windstream Holdings,Telecommunications,Telecommunications,"Little Rock, AR",5765,27,12326
444,Starwood Hotels & Resorts,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts","Stamford, CT",5763,489,188000
445,Delek US Holdings,Energy,Petroleum Refining,"Brentwood, TN",5762,19,4584
446,Packaging Corp. of America,Materials,"Packaging, Containers","Lake Forest, IL",5742,437,13000
447,Quintiles Transnational Holdings,Health Care,Health Care: Pharmacy and Other Services,"Durham, NC",5738,387,36100
448,Hanesbrands,Apparel,Apparel,"Winston-Salem, NC",5732,429,65300
449,Realogy Holdings,Financials,Real estate,"Madison, NJ",5706,184,11400
450,Mattel,Household Products,Miscellaneous,"El Segundo, CA",5703,369,31000
451,Motorola Solutions,Technology,Network and Other Communications Equipment,"Schaumburg, IL",5695,610,14000
452,J.M. Smucker,"Food, Beverages & Tobacco",Food Consumer Products,"Orrville, OH",5693,345,7370
453,Regions Financial,Financials,Commercial Banks,"Birmingham, AL",5674,1062,23916
453,Regions Financial,Financials,Commercial Banks,"Birmingham, AL",5674,1062,23916
455,Clorox,Household Products,Household and Personal Products,"Oakland, CA",5666,580,7700
456,Ingredion,"Food, Beverages & Tobacco",Food Production,"Westchester, IL",5621,402,11500
457,Genesis Healthcare,Health Care,Health Care: Medical Facilities,"Kennett Square, PA",5619,-426,88700
458,Peabody Energy,Energy,"Mining, Crude-Oil Production","St. Louis, MO",5609,-1996,7600
459,Alaska Air Group,Transportation,Airlines,"Seattle, WA",5598,848,13858
460,Seaboard,"Food, Beverages & Tobacco",Food Production,"Merriam, KS",5594,171,10772
461,Frontier Communications,Telecommunications,Telecommunications,"Norwalk, CT",5576,-196,19200
462,Amphenol,Technology,Network and Other Communications Equipment,"Wallingford, CT",5569,764,50700
463,Lansing Trade Group,Wholesalers,Wholesalers: Diversified,"Overland Park, KS",5565,35,500
464,SanDisk,Technology,Semiconductors and Other Electronic Components,"Milpitas, CA",5565,389,8790
465,St. Jude Medical,Health Care,Medical Products and Equipment,"St. Paul, MN",5541,880,18000
466,Wyndham Worldwide,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts","Parsippany, NJ",5536,612,37700
467,Kelly Services,Business Services,Temporary Help,"Troy, MI",5518,54,8100
468,Western Union,Business Services,Financial Data Services,"Englewood, CO",5484,838,10000
469,Envision Healthcare Holdings,Health Care,Health Care: Pharmacy and Other Services,"Greenwood Village, CO",5448,145,40888
470,Visteon,Motor Vehicles & Parts,Motor Vehicles and Parts,"Van Buren Township, MI",5444,2284,11000
471,Arthur J. Gallagher,Financials,Diversified Financials,"Itasca, IL",5392,357,21537
472,Host Hotels & Resorts,Financials,Real estate,"Bethesda, MD",5387,558,240
472,Host Hotels & Resorts,Financials,Real estate,"Bethesda, MD",5387,558,240
474,Insight Enterprises,Wholesalers,Wholesalers: Electronics and Office Equipment,"Tempe, AZ",5373,76,5761
475,Energy Future Holdings,Energy,Energy,"Dallas, TX",5370,-5342,8860
476,Markel,Financials,Insurance: Property and Casualty (Stock),"Glen Allen, VA",5370,583,10600
477,Essendant,Wholesalers,Wholesalers: Electronics and Office Equipment,"Deerfield, IL",5363,-44,6400
478,CH2M Hill,Engineering & Construction,"Engineering, Construction","Englewood, CO",5362,80,22000
479,Western & Southern Financial Group,Financials,"Insurance: Life, Health (Mutual)","Cincinnati, OH",5356,457,2168
480,Owens Corning,Materials,"Building Materials, Glass","Toledo, OH",5350,330,15000
481,S&P Global,Business Services,Financial Data Services,"New York, NY",5313,1156,20400
482,Raymond James Financial,Financials,Securities,"St. Petersburg, FL",5308,502,11000
483,NiSource,Energy,Utilities: Gas and Electric,"Merrillville, IN",5308,287,7596
484,Airgas,Wholesalers,Wholesalers: Diversified,"Radnor, PA",5305,368,17000
485,ABM Industries,Business Services,Diversified Outsourcing Services,"New York, NY",5291,76,120000
486,Citizens Financial Group,Financials,Commercial Banks,"Providence, RI",5276,840,17700
487,Booz Allen Hamilton Holding,Technology,Information Technology Services,"McLean, VA",5275,233,22500
488,Simon Property Group,Financials,Real estate,"Indianapolis, IN",5266,1828,4075
489,Domtar,Materials,Forest and Paper Products,"Fort Mill, SC",5264,142,9850
490,Rockwell Collins,Aerospace & Defense,Aerospace and Defense,"Cedar Rapids, IA",5262,686,19500
491,Lam Research,Technology,Semiconductors and Other Electronic Components,"Fremont, CA",5259,656,7300
492,Fiserv,Business Services,Financial Data Services,"Brookfield, WI",5254,712,22000
493,Spectra Energy,Energy,Pipelines,"Houston, TX",5234,196,6250
494,Navient,Financials,Diversified Financials,"Wilmington, DE",5197,997,7300
495,Big Lots,Retailing,Specialty Retailers: Other,"Columbus, OH",5191,143,23650
496,Telephone & Data Systems,Telecommunications,Telecommunications,"Chicago, IL",5176,219,10400
497,First American Financial,Financials,Insurance: Property and Casualty (Stock),"Santa Ana, CA",5176,288,17955
498,NVR,Engineering & Construction,Homebuilders,"Reston, VA",5170,383,4300
499,Cincinnati Financial,Financials,Insurance: Property and Casualty (Stock),"Fairfield, OH",5142,634,4493
500,Burlington Stores,Retailing,Specialty Retailers: Apparel,"Burlington, NJ",5130,151,37500
501,KBR,Engineering & Construction,"Engineering, Construction","Houston, TX",5096,203,22000
502,Neiman Marcus Group,Retailing,Specialty Retailers: Apparel,"Dallas, TX",5095,15,15100
503,Robert Half International,Business Services,Temporary Help,"Menlo Park, CA",5095,358,16100
504,Leidos Holdings,Technology,Information Technology Services,"Reston, VA",5086,254,18000
505,Harris,Technology,Network and Other Communications Equipment,"Melbourne, FL",5083,334,22300
506,Hanover Insurance Group,Financials,Insurance: Property and Casualty (Stock),"Worcester, MA",5034,332,4800
507,Pepco Holdings,Energy,Utilities: Gas and Electric,"Washington, DC",5023,327,5184
508,Nvidia,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",5010,614,9227
509,Alleghany,Financials,Insurance: Property and Casualty (Stock),"New York, NY",5000,560,3135
510,M&T Bank Corp.,Financials,Commercial Banks,"Buffalo, NY",4996,1080,16904
511,Rush Enterprises,Retailing,"Automotive Retailing, Services","New Braunfels, TX",4980,66,6700
512,Williams-Sonoma,Retailing,Specialty Retailers: Other,"San Francisco, CA",4976,310,19850
513,Yahoo,Technology,Internet Services and Retailing,"Sunnyvale, CA",4968,-4359,10400
514,Sonoco Products,Materials,"Packaging, Containers","Hartsville, SC",4964,250,21000
515,Brookdale Senior Living,Health Care,Health Care: Medical Facilities,"Brentwood, TN",4961,-458,67500
516,Tutor Perini,Engineering & Construction,"Engineering, Construction","Sylmar, CA",4921,45,10626
517,Michaels Cos.,Retailing,Specialty Retailers: Other,"Irving, TX",4913,363,31500
518,Berry Plastics Group,Materials,"Packaging, Containers","Evansville, IN",4881,86,16000
519,Juniper Networks,Technology,Network and Other Communications Equipment,"Sunnyvale, CA",4858,634,9058
520,Northern Trust,Financials,Commercial Banks,"Chicago, IL",4857,974,16200
521,YRC Worldwide,Transportation,"Trucking, Truck Leasing","Overland Park, KS",4832,1,32000
522,Pioneer Natural Resources,Energy,"Mining, Crude-Oil Production","Irving, TX",4826,-273,3732
523,Ascena Retail Group,Retailing,Specialty Retailers: Apparel,"Mahwah, NJ",4803,-237,31000
524,Adobe Systems,Technology,Computer Software,"San Jose, CA",4796,630,13893
525,Liberty Media,Media,Entertainment,"Englewood, CO",4795,64,3503
526,American Tower,Telecommunications,Telecommunications,"Boston, MA",4772,685,3371
527,Zoetis,Health Care,Pharmaceuticals,"Florham Park, NJ",4765,339,9000
528,Polaris Industries,Transportation,Transportation Equipment,"Medina, MN",4719,455,8100
529,Intercontinental Exchange,Financials,Securities,"Atlanta, GA",4682,1274,5549
530,Quad/Graphics,Media,"Publishing, Printing","Sussex, WI",4678,-642,22500
531,AmTrust Financial Services,Financials,Insurance: Property and Casualty (Stock),"New York, NY",4664,504,6200
532,Activision Blizzard,Technology,Computer Software,"Santa Monica, CA",4664,892,7300
533,Fortune Brands Home & Security,Household Products,"Home Equipment, Furnishings","Deerfield, IL",4658,315,21400
534,Caesars Entertainment,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts","Las Vegas, NV",4654,5920,33000
535,Post Holdings,"Food, Beverages & Tobacco",Food Consumer Products,"St. Louis, MO",4648,-115,8500
536,Blackstone Group,Financials,Diversified Financials,"New York, NY",4647,710,2060
537,Magellan Health,Health Care,Health Care: Insurance and Managed Care,"Scottsdale, AZ",4597,31,6900
538,RPM International,Chemicals,Chemicals,"Medina, OH",4595,240,12864
539,Flowserve,Industrials,Industrial Machinery,"Irving, TX",4561,268,19000
540,KeyCorp,Financials,Commercial Banks,"Cleveland, OH",4542,916,13483
541,MRC Global,Energy,"Oil and Gas Equipment, Services","Houston, TX",4529,-332,4100
542,Keurig Green Mountain,"Food, Beverages & Tobacco",Beverages,"Waterbury, VT",4520,498,6000
543,Electronic Arts,Technology,Computer Software,"Redwood City, CA",4515,875,8400
544,General Cable,Industrials,"Electronics, Electrical Equip.","Highland Heights, KY",4515,-122,12000
545,Cintas,Business Services,Diversified Outsourcing Services,"Cincinnati, OH",4508,431,32000
546,Chipotle Mexican Grill,"Hotels, Resturants & Leisure",Food Services,"Denver, CO",4501,476,59330
547,Levi Strauss,Apparel,Apparel,"San Francisco, CA",4495,209,12500
548,Talen Energy,Energy,Utilities: Gas and Electric,"Allentown, PA",4481,-341,4981
549,Westlake Chemical,Chemicals,Chemicals,"Houston, TX",4463,646,4225
550,Hasbro,Household Products,Miscellaneous,"Pawtucket, RI",4448,452,5000
551,Securian Financial Group,Financials,"Insurance: Life, Health (stock)","St. Paul, MN",4434,281,5000
552,Intuit,Technology,Computer Software,"Mountain View, CA",4428,365,8193
553,Cerner,Health Care,Health Care: Pharmacy and Other Services,"North Kansas City, MO",4425,539,22200
554,Coty,Household Products,Household and Personal Products,"New York, NY",4395,233,8100
555,Valspar,Chemicals,Chemicals,"Minneapolis, MN",4393,400,11130
556,SCANA,Energy,Utilities: Gas and Electric,"Cayce, SC",4380,746,5829
557,Bloomin’ Brands,"Hotels, Resturants & Leisure",Food Services,"Tampa, FL",4378,127,100000
558,MDU Resources Group,Energy,Energy,"Bismarck, ND",4376,-622,8689
559,Patterson,Health Care,Wholesalers: Health Care,"St. Paul, MN",4375,223,7000
560,Orbital ATK,Aerospace & Defense,Aerospace and Defense,"Dulles, VA",4369,159,12300
561,FM Global,Financials,Insurance: Property and Casualty (Stock),"Johnston, RI",4343,738,5483
562,Hyatt Hotels,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts","Chicago, IL",4328,124,45000
563,CA,Technology,Computer Software,"New York, NY",4324,846,11600
564,VWR,Wholesalers,Wholesalers: Diversified,"Radnor, PA",4319,154,9300
565,Science Applications International,Technology,Information Technology Services,"McLean, VA",4315,117,15342
566,CF Industries Holdings,Chemicals,Chemicals,"Deerfield, IL",4308,700,2850
567,McCormick,"Food, Beverages & Tobacco",Food Consumer Products,"Sparks, MD",4296,402,10600
568,LPL Financial Holdings,Financials,Securities,"Boston, MA",4275,169,3410
569,Alon USA Energy,Energy,Petroleum Refining,"Dallas, TX",4260,53,2860
570,Swift Transportation,Transportation,"Trucking, Truck Leasing","Phoenix, AZ",4229,198,20900
571,Calumet Specialty Products Partners,Energy,Petroleum Refining,"Indianapolis, IN",4213,-139,2175
572,MasTec,Engineering & Construction,"Engineering, Construction","Coral Gables, FL",4208,-79,15900
573,T. Rowe Price,Financials,Securities,"Baltimore, MD",4201,1223,5999
574,Andersons,"Food, Beverages & Tobacco",Food Production,"Maumee, OH",4199,-13,2954
575,Coach,Apparel,Apparel,"New York, NY",4192,402,12950
576,Toll Brothers,Engineering & Construction,Homebuilders,"Horsham, PA",4171,363,3900
577,Graphic Packaging Holding,Materials,"Packaging, Containers","Atlanta, GA",4160,230,12000
578,Brunswick,Transportation,Transportation Equipment,"Lake Forest, IL",4143,241,12607
579,Atmos Energy,Energy,Utilities: Gas and Electric,"Dallas, TX",4142,315,4753
580,Hexion,Chemicals,Chemicals,"Columbus, OH",4140,-40,5100
581,Watsco,Wholesalers,Wholesalers: Diversified,"Miami, FL",4113,173,5000
582,Tiffany,Retailing,Specialty Retailers: Other,"New York, NY",4105,464,12200
583,Regeneron Pharmaceuticals,Health Care,Pharmaceuticals,"Tarrytown, NY",4104,636,4300
584,Avaya,Technology,Network and Other Communications Equipment,"Santa Clara, CA",4081,-144,11656
585,Wynn Resorts,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts","Las Vegas, NV",4076,195,20800
586,Bemis,Materials,"Packaging, Containers","Neenah, WI",4071,239,17696
587,Mead Johnson Nutrition,"Food, Beverages & Tobacco",Food Consumer Products,"Glenview, IL",4071,654,7660
588,Tesla Motors,Motor Vehicles & Parts,Motor Vehicles and Parts,"Palo Alto, CA",4046,-889,13058
589,Agilent Technologies,Technology,"Scientific,Photographic and Control Equipment","Santa Clara, CA",4038,401,11800
590,Torchmark,Financials,"Insurance: Life, Health (stock)","McKinney, TX",4027,527,3115
591,Thor Industries,Motor Vehicles & Parts,Motor Vehicles and Parts,"Elkhart, IN",4007,199,10450
592,Cabela’s,Retailing,Specialty Retailers: Other,"Sidney, NE",3998,189,19700
593,Advanced Micro Devices,Technology,Semiconductors and Other Electronic Components,"Sunnyvale, CA",3991,-660,9100
594,Ametek,Technology,"Scientific,Photographic and Control Equipment","Berwyn, PA",3974,591,15400
595,Smart & Final Stores,Food and Drug Stores,Food and Drug Stores,"Commerce, CA",3971,38,6939
596,Colfax,Industrials,Industrial Machinery,"Annapolis Junction, MD",3967,168,17087
597,Under Armour,Apparel,Apparel,"Baltimore, MD",3963,233,9600
598,Antero Resources,Energy,"Mining, Crude-Oil Production","Denver, CO",3955,941,480
599,Nexeo Solutions Holdings,Wholesalers,Wholesalers: Diversified,"The Woodlands, TX",3949,20,2450
600,AGL Resources,Energy,Utilities: Gas and Electric,"Atlanta, GA",3941,353,5203
601,Leggett & Platt,Household Products,"Home Equipment, Furnishings","Carthage, MO",3937,325,20000
602,Ulta Salon Cosmetics & Fragrance,Retailing,Specialty Retailers: Other,"Bolingbrook, IL",3924,320,18100
603,CIT Group,Financials,Commercial Banks,"New York, NY",3906,1057,4900
604,American Axle & Manufacturing,Motor Vehicles & Parts,Motor Vehicles and Parts,"Detroit, MI",3903,236,13054
605,Triumph Group,Aerospace & Defense,Aerospace and Defense,"Berwyn, PA",3889,239,15153
606,Dynegy,Energy,Energy,"Houston, TX",3870,50,2591
607,Fastenal,Retailing,Specialty Retailers: Other,"Winona, MN",3869,516,20746
608,WhiteWave Foods,"Food, Beverages & Tobacco",Food Consumer Products,"Denver, CO",3866,168,5300
609,Welltower,Financials,Real estate,"Toledo, OH",3860,884,462
610,Sally Beauty Holdings,Retailing,Specialty Retailers: Other,"Denton, TX",3834,235,21033
611,CNO Financial Group,Financials,"Insurance: Life, Health (stock)","Carmel, IN",3812,271,3500
612,CommScope Holding,Technology,Network and Other Communications Equipment,"Hickory, NC",3808,-71,23000
613,Axiall,Chemicals,Chemicals,"Atlanta, GA",3787,-816,5830
614,Ingles Markets,Food and Drug Stores,Food and Drug Stores,"Black Mountain, NC",3779,59,17125
615,Flowers Foods,"Food, Beverages & Tobacco",Food Consumer Products,"Thomasville, GA",3779,189,10900
616,USG,Materials,"Building Materials, Glass","Chicago, IL",3776,991,8900
617,Silgan Holdings,Materials,"Packaging, Containers","Stamford, CT",3764,172,9600
618,Select Medical Holdings,Health Care,Health Care: Medical Facilities,"Mechanicsburg, PA",3743,131,34700
619,Crown Castle International,Telecommunications,Telecommunications,"Houston, TX",3729,1521,2700
620,Allegheny Technologies,Materials,Metals,"Pittsburgh, PA",3720,-378,9200
621,HSN,Retailing,Specialty Retailers: Other,"St. Petersburg, FL",3691,169,6600
622,Xylem,Industrials,Industrial Machinery,"Rye Brook, NY",3653,340,12700
623,Zebra Technologies,Industrials,"Electronics, Electrical Equip.","Lincolnshire, IL",3652,-137,7000
624,Albemarle,Chemicals,Chemicals,"Baton Rouge, LA",3651,335,6963
625,Resolute Forest Products,Materials,Forest and Paper Products,"Catawba, SC",3645,-257,8000
626,Towers Watson,Business Services,Diversified Outsourcing Services,"Arlington, VA",3645,385,16300
627,Boise Cascade,Wholesalers,Wholesalers: Diversified,"Boise, ID",3633,52,5830
628,Greif,Materials,"Packaging, Containers","Delaware, OH",3617,72,13150
629,Team Health Holdings,Health Care,Health Care: Pharmacy and Other Services,"Knoxville, TN",3597,83,18800
